MAGs	16S_rRNA	23S_rRNA	5S_rRNA	CDSs	coding density	Count	CRISPR arrays	GC	hypotheticals	Length	N ratio	N50	ncRNA regions	ncRNAs	oriCs	oriTs	oriVs	pseudogenes	rRNAs	signal peptides	sORFs	tmRNAs	tRNAs
341R_metabinner_6	0	0	0	4062	88.6	188	1	57.7	1130	4389857	0	40215	6	4	0	0	0	0	0	0	0	1	41
GFS_10002	0	1	1	3159	93.1	49	0	65.3	979	3258803	0	106187	6	4	0	0	0	2	2	0	0	1	45
GFS_10004	0	0	0	3227	87.2	361	0	65.9	841	3361537	0	13298	7	2	0	0	0	3	0	0	0	0	42
GFS_10006	0	0	1	2263	84.9	400	0	62.4	781	2202501	0	6989	6	2	0	0	0	2	1	0	0	0	30
GFS_10018	0	0	0	3790	87.2	419	0	66.1	1464	3780965	0	13822	10	5	0	0	0	6	0	0	1	0	27
GFS_10022	0	0	0	3798	80.4	436	0	38	1007	4556831	0	15815	5	13	0	0	0	58	0	0	1	1	33
GFS_10023	1	0	0	4711	86	511	0	69.2	2574	5506637	0	16774	2	3	0	0	0	1	2	0	0	0	45
GFS_10025	0	0	0	3457	90.4	122	0	68.5	570	3617050	0	54266	5	1	0	0	0	10	0	0	1	1	48
GFS_10026	0	0	0	3495	82	911	0	67.8	1201	3418269	0	4386	6	8	0	0	0	18	0	0	0	0	30
GFS_1003	1	2	0	1412	73.9	316	0	38.5	1183	1289113	0	6702	0	3	0	0	0	0	2	0	1	0	29
GFS_10036	0	0	0	3278	81.8	789	0	71.5	1234	3397767	0	5275	8	2	0	0	0	8	0	0	0	1	21
GFS_10042	0	0	0	2700	66.2	1125	2	33.2	1752	3163299	0	3500	4	1	0	0	0	0	0	0	0	0	30
GFS_10060	0	0	1	3280	85.2	235	3	35.7	1273	3820047	0	38936	3	17	0	0	0	6	1	0	0	0	36
GFS_10061	0	0	1	3509	88.8	223	0	55.8	906	3489513	0	25272	11	7	0	0	0	10	1	0	1	1	44
GFS_10066	0	0	0	5439	74.9	840	2	46.3	1958	6194178	0	12277	7	22	0	0	0	75	1	0	1	1	71
GFS_10091	0	0	0	5023	83.9	479	0	56.6	1123	5589868	0	16317	15	11	0	0	0	4	0	0	0	0	38
GFS_10095	1	0	0	3954	89.3	144	0	68.3	1106	4145793	0	50584	8	9	0	0	0	1	1	0	0	1	43
GFS_10096	0	0	0	6168	87.1	169	0	43.2	2019	7139148	0	120247	6	4	0	0	0	25	0	0	1	1	48
GFS_10097	0	0	0	3544	88.4	146	0	36.4	1436	4072013	0	49803	4	8	0	0	0	1	0	0	0	1	31
GFS_10128	0	0	0	3414	87.8	106	1	45.8	1418	3654527	0	59813	4	10	0	0	0	3	0	0	0	1	38
GFS_10135	0	0	0	3153	82.7	768	0	62.3	1889	2857169	0	4276	6	1	0	0	0	0	0	0	0	0	30
GFS_10141	0	0	0	3907	88.6	171	0	61.9	1394	3937666	0	36239	9	5	0	0	0	0	0	0	0	0	42
GFS_10147	0	0	0	2893	86.1	468	0	69.2	1137	3161791	0	10175	8	4	0	0	0	1	0	0	0	0	20
GFS_10151	0	0	0	3218	86	353	0	65.6	1209	3384577	0	13372	5	1	0	0	0	6	0	0	2	0	36
GFS_10162	0	0	0	2814	87.8	249	0	59.8	568	2955730	0	20349	12	6	0	0	0	10	0	0	0	2	41
GFS_10165	0	0	0	2178	71.3	646	0	31.9	1042	2431773	0	4364	1	10	0	0	0	3	0	0	0	0	26
GFS_10166	0	0	0	5474	89.3	324	2	62.2	3213	6096174	0	35691	1	3	0	0	0	0	0	0	0	1	37
GFS_10167	0	0	0	2772	84.3	554	0	65	1070	2957139	0	7224	4	2	0	0	0	3	0	0	0	1	39
GFS_10171	1	0	0	2543	79.2	728	0	69.6	1187	2532090	0	3819	10	2	0	0	0	0	1	0	0	0	23
GFS_10174	0	0	0	2151	87.3	407	0	67.4	811	2229696	0	7196	5	2	0	0	0	1	0	0	0	0	21
GFS_10199	0	0	0	4470	78.7	1137	0	58.7	2627	5188561	0	6527	2	0	0	0	0	3	0	0	0	0	43
GFS_10208	2	1	1	3527	83	525	0	56	1647	3748311	0	13632	3	3	0	0	0	7	4	0	0	0	38
GFS_10217	0	0	0	3515	61.6	1497	1	45.5	1791	3838298	0	3001	1	9	0	0	0	12	0	0	0	1	37
GFS_10254	0	0	0	7315	93.2	262	0	66.4	3826	8101196	0	42087	5	4	0	0	0	0	0	0	0	1	42
GFS_10255	0	0	0	5086	92	171	1	51.6	2309	5664572	0	49474	3	2	0	0	0	3	0	0	0	0	41
GFS_10256	0	0	0	2815	87	245	0	38.5	851	3127781	0	19590	4	3	0	0	0	2	0	0	0	0	26
GFS_10292	1	0	1	2073	76.8	549	0	39.6	1370	2176514	0	4594	1	2	0	0	0	1	2	0	0	0	22
GFS_10313	0	0	0	2311	83	515	0	64.2	712	2305712	0	5651	4	1	0	0	0	12	0	0	0	1	22
GFS_10315	1	1	1	548	83	69	0	46.3	275	527850	0	8572	1	0	0	0	0	0	2	0	0	0	22
GFS_10318	0	0	1	2584	82.8	689	0	68.8	1532	2552322	0	4384	1	2	0	0	0	0	1	0	0	1	22
GFS_10320	0	0	0	2854	75.9	603	0	42.7	1081	3356896	0	6811	7	5	0	0	0	2	0	0	0	1	26
GFS_10331	0	0	0	2377	87.2	464	0	65.2	724	2249941	0	6172	7	4	0	0	0	2	0	0	0	1	22
GFS_10335	0	0	0	1993	83.8	386	0	63.7	851	2111060	0	6844	2	3	0	0	0	4	0	0	0	1	18
GFS_10362	0	0	1	2299	75.5	793	0	54.4	1355	2458573	0	3725	1	1	0	0	0	0	1	0	0	1	26
GFS_1044	0	0	0	4242	84	906	0	67.1	2008	4193957	0	5818	4	3	0	0	0	5	0	0	0	0	38
GFS_10454	0	0	0	2222	81.4	513	0	66.3	1293	2246222	0	5335	2	1	0	0	0	0	0	0	0	0	39
GFS_10456	0	0	0	5127	86.6	508	0	65.6	1626	5238800	0	16104	16	7	0	0	0	23	0	0	1	0	43
GFS_10464	1	0	0	3059	86.3	290	1	37.6	1386	3567569	0	22006	3	8	0	0	0	1	1	0	0	0	16
GFS_10465	0	0	0	3146	81.5	508	0	44.7	1327	3301274	0	8142	1	1	0	0	0	5	0	0	0	0	27
GFS_10472	0	0	0	4152	82.6	467	0	56.5	2190	4469450	0	12527	2	25	0	0	0	3	0	0	1	1	38
GFS_10485	0	0	0	2498	81.5	585	0	64.2	855	2384010	0	4727	5	2	0	0	0	13	0	0	0	0	30
GFS_10486	0	0	0	3918	84.6	736	0	69.6	1248	3972763	0	7017	8	5	0	0	0	16	0	0	0	0	33
GFS_1049	0	0	0	784	82.9	85	0	39.6	480	766533	0	11090	0	1	0	0	0	0	0	0	0	1	20
GFS_10490	0	0	0	2310	85.8	386	0	61.6	844	2374328	0	8104	4	2	0	0	0	0	0	0	0	0	23
GFS_10499	0	0	0	2322	84.5	405	0	67	783	2516174	0	8100	4	2	0	0	0	3	0	0	0	0	35
GFS_10507	0	0	0	1988	86.9	291	0	66.7	709	1960895	0	9707	1	3	0	0	0	1	0	0	0	1	37
GFS_10508	0	0	0	2550	79.8	630	0	59.4	1057	2490053	0	4496	3	3	0	0	0	1	0	0	0	0	15
GFS_10510	0	0	0	3011	87.4	267	1	52.7	886	3152321	0	15893	21	9	0	0	0	8	0	0	0	0	41
GFS_10512	1	1	1	982	87.3	56	0	40.4	439	1021134	0	29638	0	1	0	0	0	1	4	0	0	1	42
GFS_10516	0	0	0	1665	82.6	444	0	64	797	1700908	0	4494	4	4	0	0	0	0	0	0	0	0	23
GFS_10520	0	0	0	1006	86.7	136	0	55.3	573	989912	0	9296	7	3	0	0	0	0	0	0	0	0	30
GFS_10525	0	0	0	3329	85.2	676	0	67.6	1178	3316729	0	6126	7	6	0	0	0	9	0	0	0	0	13
GFS_1053	0	0	0	3069	82.9	693	0	60.9	1020	3079300	0	5455	8	4	0	0	0	0	0	0	0	1	55
GFS_10545	0	0	0	3590	86.8	411	0	57.4	1708	3872830	0	13630	2	3	0	0	0	1	0	0	0	1	34
GFS_10563	0	0	0	2281	83.2	229	0	52.2	2019	2186306	0	17841	1	1	0	0	0	0	0	0	0	0	39
GFS_10566	0	0	0	2101	68.1	799	0	42.4	1567	2372253	0	3614	4	9	0	0	0	0	0	0	0	1	26
GFS_10644	0	0	1	5126	86.1	211	0	33.2	2497	6300090	0	80003	10	3	0	0	0	4	1	0	0	0	42
GFS_10645	0	0	1	2396	85.4	307	0	52.4	763	2411261	0	10231	5	4	0	0	0	5	1	0	0	1	42
GFS_10646	0	0	1	2786	86	352	0	51.1	859	2913002	0	10980	17	3	0	0	0	7	1	0	0	0	30
GFS_10653	1	0	1	1853	90.2	105	1	68.1	771	1905548	0	37877	9	4	0	0	0	0	1	0	0	2	39
GFS_10664	0	2	1	582	84.4	54	0	45.3	292	594390	0	13559	0	1	0	0	0	1	3	0	0	1	31
GFS_10668	1	1	0	1059	28.1	160	0	30.1	1010	990860	0	8211	2	1	0	0	0	11	2	0	0	0	32
GFS_10674	0	0	1	3574	91	118	0	63.1	1709	4051208	0	65140	6	2	0	0	0	3	1	0	0	1	43
GFS_10685	0	0	2	3587	82	662	1	57.7	1735	3860883	0	7460	3	6	0	0	0	3	2	0	0	0	40
GFS_10704	1	0	1	2564	78.3	559	0	40.4	992	3049741	0	6619	5	2	0	0	0	5	2	0	0	1	31
GFS_10705	0	0	1	1308	76.8	313	0	41.8	484	1417915	0	5164	19	4	0	0	0	1	1	0	0	0	15
GFS_10711	1	0	0	2683	88.6	367	0	65.3	1022	2812470	0	11473	5	2	0	0	0	1	1	0	0	1	32
GFS_10719	0	0	1	2305	88.7	162	2	62.4	1158	2728015	0	26953	1	3	0	0	0	0	1	0	0	0	39
GFS_10727	0	0	0	3862	86.1	590	0	68.9	1218	3851562	0	9142	11	6	0	0	0	15	0	0	0	0	28
GFS_10742	0	0	1	2923	88.5	348	0	67.6	1100	2713319	0	11505	6	3	0	0	0	2	1	0	1	1	34
GFS_10753	0	0	1	3044	65.8	1462	1	48.3	2184	3484958	0	2677	1	2	0	0	0	0	1	0	0	1	23
GFS_10772	0	0	0	2550	84.7	512	0	65.9	938	2826090	0	8900	2	7	0	0	0	2	0	0	0	1	32
GFS_10782	0	0	0	2477	69	941	1	37.6	1352	3003848	0	4027	6	4	0	0	0	1	0	0	0	1	30
GFS_10814	0	0	0	2583	74.6	676	0	48.3	938	2580993	0	5274	5	5	0	0	0	11	0	0	0	1	27
GFS_10835	0	0	0	3503	83.3	438	0	54.6	1597	3775656	0	12034	4	4	0	0	0	1	0	0	0	0	47
GFS_10842	0	0	0	755	89.7	37	0	40.7	330	752274	0	25414	3	1	0	0	0	0	0	0	0	0	40
GFS_10852	0	0	1	2422	87.9	103	0	42.9	672	2614275	0	43361	8	3	0	0	0	3	1	0	0	0	45
GFS_10855	0	0	0	2863	80.3	500	0	36.5	990	3365589	0	9847	10	3	0	0	0	3	0	0	0	0	34
GFS_10859	0	0	1	3353	87.1	488	0	66.6	1578	3244610	0	9814	5	3	0	0	0	1	1	0	0	1	34
GFS_10864	0	0	0	2312	83.5	460	0	65.9	820	2329027	0	6460	5	5	0	0	0	1	0	0	0	1	27
GFS_10870	1	0	0	3553	84.9	340	0	57	2280	3690149	0	15033	4	2	0	0	0	0	1	0	0	1	43
GFS_10878	0	0	0	2894	87.5	275	0	62.1	973	2900125	0	17241	8	5	0	0	0	0	0	0	0	0	29
GFS_10881	0	0	0	3280	86	404	0	67.1	818	3478725	0	11868	6	3	0	0	0	9	0	0	0	0	22
GFS_10893	1	0	1	3319	88.2	214	2	57.1	1661	3998989	0	29001	11	5	0	0	0	1	2	0	0	1	40
GFS_10894	0	0	1	3249	84.7	195	0	45.9	950	3468680	0	25035	5	3	0	0	0	8	1	0	0	0	45
GFS_10895	0	0	2	2939	88.5	218	1	65.8	1112	3347342	0	25820	6	2	0	0	0	1	2	0	0	0	46
GFS_10898	0	0	0	2590	86	466	0	67.3	1636	2927631	0	8291	3	6	0	0	0	0	0	0	0	3	32
GFS_10903	0	0	0	2140	87.8	335	0	64.7	923	2284198	0	9132	2	3	0	0	0	1	0	0	0	0	40
GFS_10905	1	2	1	1578	86	63	0	46.1	633	1623184	0	40572	8	3	0	0	0	0	4	0	0	0	48
GFS_10912	0	0	1	4330	89.9	241	0	58.8	1863	4454928	0	34112	3	3	0	0	0	2	1	0	0	0	54
GFS_10914	0	0	0	3309	82	661	0	66.7	1700	3585457	0	7010	4	3	0	0	0	1	0	0	1	1	39
GFS_10924	0	0	0	3377	73.5	867	0	41.7	1304	3820968	0	5033	4	3	0	0	0	10	0	0	1	1	17
GFS_1093	5	6	2	932	72.1	273	0	44.5	579	1020655	0	6312	0	3	0	0	0	0	12	0	0	1	40
GFS_10932	0	0	0	2743	85.2	439	0	67.7	932	2883224	0	9762	8	5	0	0	0	4	0	0	0	0	27
GFS_10936	0	0	0	2287	82.6	508	0	69.3	1124	2248481	0	5241	6	3	0	0	0	1	0	0	0	1	29
GFS_10943	0	0	1	789	87.1	60	0	35.5	409	793209	0	24445	0	1	0	0	0	0	1	0	0	1	33
GFS_10948	1	0	0	625	82.1	95	0	34.3	300	607349	0	8767	2	2	0	0	0	0	0	0	0	1	33
GFS_10949	0	0	0	2468	86.4	454	0	67	1069	2367639	0	6851	8	3	0	0	0	1	0	0	0	1	36
GFS_10965	0	0	0	3199	87.4	164	1	35.3	1079	3462351	0	30088	2	4	0	0	0	7	1	0	0	1	27
GFS_1097	1	0	0	1814	55.7	1196	0	38.3	927	2282384	0	1981	2	2	0	0	0	4	0	0	0	0	13
GFS_10983	0	0	0	2580	79.4	787	0	58.3	1426	2540457	0	4114	4	0	0	0	0	0	0	0	0	0	27
GFS_10988	0	0	0	3586	66.9	1456	1	37.9	2135	4168020	0	3465	2	1	0	0	0	8	0	0	0	2	53
GFS_10992	0	0	0	1664	80.5	459	0	65.3	726	1605796	0	4648	2	3	0	0	0	1	0	0	0	1	23
GFS_11	0	0	0	7295	79.8	1765	0	71.2	5096	7628632	0	5239	3	3	0	0	0	1	0	0	0	0	46
GFS_110	0	0	0	2757	76.2	613	1	33.9	1151	3073070	0	6505	2	44	0	0	0	7	0	0	0	0	22
GFS_11000	0	0	0	2844	86.1	537	0	62.8	1793	2753575	0	8669	3	3	0	0	0	0	0	0	0	0	40
