Sample	code_gl	Site_c	water_temp [C]	ph [pH]	do [mg l-1]	do_sat [saturation]	w_co2 [mATM]	conductivity [uS cm -1]	turb [NTU]	rdna [boolean]	lat_sn [DD]	lon_sn [DD]	ele_sn [m]	lat_sp [DD]	lon_sp [DD]	ele_sp [m]	max_el [m]	mean_el [m]	sn_sp_dist [m]	sn_sp_ele [m]	abl_asp [°]	gl_sa [km2]	gl_cov [%]	gl_a [km2]	mb_obs	fv_obs	data_ts	sn_data_ts	chla [ug g-1]	eps [ugC g-1]	ag [nmol g-1 h-1]	ap [nmol g-1 h-1]	bg [nmol g-1 h-1]	lap [nmol g-1 h-1]	nag [nmol g-1 h-1]	bp [ngC g-1 h-1]	wba [cells ml-1]	sba [cells g-1]	respiration [mg 02 g-1 h-1]	abs254 [m-1]	abs300 [m-1]	suva [mg C l-1 m-1]	e2e3 [proportion]	e4e6 [proportion]	s275295 [nm-1]	s350400 [nm-1]	s300700 [nm-1]	sr [proportion]	bix [proportion]	fi [proportion]	hix [proportion]	coble_t [RU]	coble_a [RU]	coble_m [RU]	coble_c [RU]	doc [ug l-1]	i1_na [ug l-1]	i2_k [ug l-1]	i3_mg [ug l-1]	i4_ca [ug l-1]	i5_cl [ug l-1]	i6_so4 [ug l-1]	n3_srp [ug l-1]	n4_nh4 [ug l-1]	n5_no3 [ug l-1]	n6_no2 [ug l-1]	hydro_isotope [per_mil]	oxy_isotope [per_mil]
GL119_DN	GL119	Nepal	5.4	7.769	7.6	101.2	NA	67.5	29.86795	1	27.9141	86.7999	4404	27.9122	86.80112	4367	6451	5193	660	557	45	1.67	0.3	5.490192	NA	NA	20201113	20201113	0.519547222	NA	1.427817	25.41609833	5.029779223	36.54984333	9.700547001	131.2067	NA	3172675.372	3.72E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.6285	0.9385	1.17	9.851	0.0735	15.3375	1.02	21.46	120.98	1.21	NA	NA
GL119_UP	GL119	Nepal	4.6	6.96	6.94	91	NA	67.9	38.76416	0	27.9141	86.7999	4404	27.91355	86.80015	4391	6451	5193	219	422	45	1.67	0.35	4.787129	NA	NA	20201113	20201113	0.344210778	NA	2.888234555	26.99227	4.893981556	10.44327645	1.461951333	138.7588317	NA	900459.4458	4.50E-04	1.803	1.382333333	0.708666667	1.845	1.919666667	0.006333333	0.003666667	0.004	1.647333333	0.79257	1.408599	3.344812667	0.007231667	0.025288	0.014294667	0.012018667	110.6666667	1.6505	0.9705	1.185	9.9505	0.074	15.206	1.36	17.17	116.32	0.51	NA	NA
GL11_Down	GL11	New_Zealand	5.4	10.18	10.7	99.7	390.3	19	1.9	0	-44.465	168.624	1713	-44.4689	168.6193	1486	2164	1968	571	227	225	0.43	0.56	0.76	NA	NA	20190328	20190301	0.026118444	0.220839667	0.284486455	3.016679472	0.960323976	13.08590965	0.360414517	69.76486	NA	79958722.1	1.04E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GL11_UP	GL11	New_Zealand	2.9	10.18	11.1	98.9	386.9	14.5	4.1	0	-44.465	168.624	1713	-44.4673	168.6216	1587	2164	1968	320	126	225	0.43	0.63	0.68	NA	NA	20190328	20190301	0.010440222	0.014903333	0.165830512	1.861861636	0.929044322	7.874954762	0.341105119	10.32189033	NA	73909671.37	1.20E-04	0.773	0.487333333	0.376	3.071	4.867	0.011666667	0.009666667	0.01	1.169666667	0.813040667	1.046118	0.611363	0.011475	0.01231	0.006484667	0.004717	89.23333333	NA	NA	NA	NA	NA	NA	6.1	27.3	7.6	NA	-55.5302	-8.62352
GL121_DN	GL121	Kyrgyzstan	3.4	8.187	9.04	99.9	NA	63.3	18.62724	0	42.50505	74.50538	3339	42.5095	74.5014	3267	4566	3971	615	72	180	4.69	0.34	13.82693	NA	NA	20210727	20210720	0.036787	NA	0.747209111	3.148174667	2.165012222	37.39678778	0.528994	NA	NA	54069989.38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.74	16.21	519.32	15.28	NA	NA
GL121_UP	GL121	Kyrgyzstan	1.7	8.3	9.27	99	NA	63.5	20.07248	0	42.50505	74.50538	3339	42.5056	74.5048	3334	4566	3971	78	5	180	4.69	0.35	13.39017	NA	NA	20210727	20210720	0.003595889	NA	0.022188222	0.129833667	0.068435889	2.485916334	0.024271389	152.9940783	NA	6629465.29	NA	2.555666667	1.711	0.406666667	2.670333333	2.086	0.009666667	0.006	0.006666667	1.602666667	2.10965	1.457091667	0.537148667	0.147095667	0.052725	0.054963	0.020476667	270.89	1.124	0.478	0.9785	11.6695	0.243	2.494	1.17	20.76	538.55	43.4	NA	NA
GL122_DN	GL122	Kyrgyzstan	0.7	8.035	9.68	100.4	NA	15.9	192.7618	0	42.47549	74.48291	3371	42.4778	74.4816	3288	4375	3889	284	83	180	5.33	0.61	8.700598	36	30	20210727	20210727	0.036369889	NA	0.166969666	1.429524111	0.245782778	7.569885777	0.175341667	45.4189925	NA	9137224.604	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.554	0.1935	0.5995	4.5305	0.1755	1.0305	2.55	18.05	172.7	46.14	NA	NA
GL122_UP	GL122	Kyrgyzstan	0.3	8.927	9.68	99.8	NA	30.2	375.1823	0	42.47549	74.48291	3371	42.4755	74.4829	3371	4375	3889	3	0	180	5.33	0.64	8.278834	36	30	20210727	20210727	0.011235778	NA	0.03223	0.939585556	0.059867778	6.690505222	0.152698333	98.83137	NA	2165821.93	NA	9.747	7.144333333	1.279333333	2.419	2.579333333	0.008	0.008666667	0.008	0.950666667	1.398299	1.658748333	0.534431333	0.068862667	0.042278	0.031294667	0.018420667	411.11	1.4345	0.177	0.6405	5.751	0.139	1.236	2.68	14.48	259.65	18.37	NA	NA
GL124_UP	GL124	Kyrgyzstan	0.5	9.819	9.54	100	NA	16.2	506.8591	0	42.43821	74.4596	3513	42.4383	74.4595	3514	4133	3817	10	-1	135	1.48	0.74	2.013706	NA	NA	20210727	20210727	0.140905555	NA	0.235924555	4.206685222	0.620968222	16.39366789	0.309688889	147.7075133	NA	41408446.48	NA	8.052	5.514	1.733	2.669333333	2.324666667	0.01	0.008333333	0.008	1.156666667	1.411208333	1.503076333	0.439405	0.116175	0.051777	0.036012667	0.021669	201.5	0.6275	0.9125	0.506	3.4025	0.052	0.121	2.44	18.09	4.76	0.78	NA	NA
GL126_DN	GL126	Kyrgyzstan	4	8.708	8.36	100.4	NA	101.6	464.7868	0	39.47114	72.89675	4020	39.4818	72.8957	3824	4743	4327	1280	196	45	1.15	0.38	3.005052	NA	NA	20200816	20210731	0.004033556	NA	0.039870333	1.845574778	0.433764	28.90276111	0.038532	41.33854	NA	14254021.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.737	0.383	2.573	35.4335	0.137	61.688	3.53	16.1	166.96	5.07	NA	NA
GL127_UP	GL127	Kyrgyzstan	0.25	8.204	9.02	99.9	NA	997	5.732552	0	39.43454	72.88872	4232	39.4419	72.8983	3970	4700	4462	1192	262	270	1.03	0.26	4.031847	NA	NA	20200816	20200816	0.031573222	NA	0.294302445	4.834869	2.263889555	98.89241334	0.314183111	NA	NA	13537070.19	NA	0.296333333	0.325666667	0.129666667	1.133333333	1.948333333	0	0	0.002	0	1.232030333	0.939866667	0.703508	0.034144333	0.021667	0.012430333	0.006995333	99.44666667	1.6415	1.3845	17.0055	227.331	0.3345	545.424	0.91	17.95	447.05	4.02	NA	NA
GL12_Down	GL12	New_Zealand	7	9.83	11.4	101.8	424.7	41.7	8.2	0	-44.4694	168.7206	1369	-44.4803	168.7265	717	2582	2070	1367	652	225	1.97	0.78	2.52	NA	NA	20190328	20190301	0.002828	0.097001333	0.026893196	0.387543431	0.0769085	2.593962082	0.033550947	12.071675	NA	13046793.37	5.09E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GL12_DownB	GL12	New_Zealand	7	9.83	11.4	101.8	424.7	41.7	8.2	0	-44.4694	168.7206	1369	-44.4803	168.7265	717	2582	2070	1367	652	225	1.97	0.78	2.52	NA	NA	20190328	20190301	0.002828	0.097001333	0.026893196	0.387543431	0.0769085	2.593962082	0.033550947	12.071675	NA	13046793.37	5.09E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GL12_Up	GL12	New_Zealand	6.6	9.83	11.4	101.3	417.5	66.7	9.9	0	-44.4694	168.7206	1369	-44.4758	168.7268	749	2582	2070	864	620	225	1.97	0.8	2.48	NA	NA	20190328	20190301	0.002734556	0	0.012311805	0.331141152	0.042393514	2.075619329	0.016750137	NA	NA	14026392.18	6.13E-05	0.606333333	0.368333333	0.268666667	3.374	3.916	0.012333333	0.01	0.010333333	1.187333333	0.747935667	1.058291	1.861802	0.010067	0.012907	0.007307333	0.005367667	98.33333333	NA	NA	NA	NA	NA	NA	6.2	1.5	21.3	NA	-55.2029	-8.75139
GL130_DN	GL130	Kyrgyzstan	3	8.655	8.71	100.6	NA	72	446.4805	0	41.8242	78.15469	3841	41.8313	78.1378	3721	4739	4239	1644	120	225	5.11	0.53	9.627045	5	3	20210726	20210726	0.020517	NA	0.208834778	3.610565111	0.470991889	36.89463556	0.134686556	48.08412033	NA	25270127.58	8.13E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.892	0.4505	2.6945	10.5605	0.3825	8.579	3.25	14.59	90.16	1.25	NA	NA
GL130_UP	GL130	Kyrgyzstan	4.7	8.333	8.17	100.2	NA	330	269.1986	0	41.8242	78.15469	3841	41.8245	78.1545	3838	4739	4239	41	3	225	5.1	0.7	7.292166	5	3	20210726	20210726	0.053683333	NA	0.123755778	4.419224667	0.247170444	15.97857289	0.114878444	15.48308183	NA	5931344.477	9.47E-05	7.499333333	6.397	1.354	2.132333333	2.412666667	0.006666667	0.006333333	0.006	0.916333333	5.095969667	1.701243	0.239271333	0.288828	0.082396667	0.144561333	0.016753667	249.7766667	1.338	1.0195	6.621	16.6155	0.625	24.1065	3.12	14.95	220.95	2.07	NA	NA
GL132_DN	GL132	Kyrgyzstan	2.5	8.29	8.71	101	NA	75.2	206.2506	0	41.80019	78.13431	3891	41.8034	78.1293	3822	4571	4188	560	69	315	1.83	0.5	3.628939	NA	NA	20210726	20210726	0.231005	NA	0.475086778	13.52460744	0.546874778	37.63823333	0.380402444	19.97670167	NA	24348563.76	1.09E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.9895	0.329	2.8345	12.0895	0.4785	4.801	1.61	23.36	178.31	0.57	NA	NA
GL132_UP	GL132	Kyrgyzstan	1.5	8.536	8.36	95	NA	170	21.87099	0	41.80019	78.13431	3891	41.8009	78.1335	3869	4571	4188	97	22	315	1.83	0.57	3.190431	NA	NA	20210726	20210726	0.089926667	NA	0.494595555	5.908776222	0.629957222	29.78614256	0.277169111	NA	NA	37728948.58	3.01E-05	2.075666667	1.428333333	0.258	2.528666667	3.308	0.009	0.008333333	0.007	1.116333333	2.385880333	1.43997	0.656377	0.110135333	0.048244	0.064179	0.021344333	349.6666667	1.2785	0.425	4.013	14.355	0.718	5.616	0.96	32.1	308.98	0.87	NA	NA
GL133_DN	GL133	Kyrgyzstan	4	8.5	8.32	100.5	NA	74.6	80.29053	1	41.88792	77.68787	3899	41.8901	77.6894	3796	4409	4182	278	103	225	0.52	0.59	0.883257	NA	NA	20210726	20210726	0.342133889	NA	0.238699111	7.81185411	0.403703555	32.49700778	0.303858222	50.54740667	NA	33769259.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.9835	0.2015	1.4895	13.55	0.42	4.1425	3.02	12.54	335.97	6.54	NA	NA
GL133_UP	GL133	Kyrgyzstan	0.1	9.145	8.75	96.5	NA	84.9	39.02109	0	41.88792	77.68787	3899	41.8879	77.6879	3899	4409	4182	1	0	225	0.52	0.69	0.746546	NA	NA	20210726	20210726	1.635792445	NA	4.968693	76.38024	6.027981778	209.26682	1.954827	37.85470317	NA	60638361.62	NA	3.228	2.255333333	1.153333333	2.330666667	2.009666667	0.008333333	0.006	0.006333333	1.413666667	1.61663	1.698170333	0.754237333	0.031463667	0.024019333	0.019893667	0.011371667	124.6633333	1.228	0.2585	2.526	13.0495	0.465	7.4865	2.94	24.51	375.27	3.62	NA	NA
GL135_DN	GL135	Kyrgyzstan	0.6	8.61	8.99	99.6	NA	164.9	5.421024	0	41.79839	77.7495	3925	41.7995	77.75	3900	4471	4207	133	25	180	0.99	0.58	1.701388	15	17	20210726	20210726	0.774808222	NA	0.950371222	53.98300778	1.704839556	110.3317045	0.780497111	NA	NA	33969958.54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.447	0.142	2.761	27.7505	0.9785	25.94	0.94	16.92	664.8	3.31	NA	NA
GL135_UP	GL135	Kyrgyzstan	0.4	8.552	8.72	95.9	NA	180.1	4.303377	0	41.79839	77.7495	3925	41.7985	77.7495	3925	4471	4207	9	0	180	0.99	0.63	1.56763	15	17	20210726	20210726	0.642725445	NA	1.787029222	71.87055444	2.122523222	142.9523644	0.907105444	73.44404833	NA	51186945.64	NA	0.827333333	0.565333333	0.09	2.87	3.153333333	0.008666667	0.008	0.006666667	1.067	1.044635	1.466304667	1.176646	0.048125	0.035112	0.025892	0.02498	398.6666667	1.488	0.1565	3.0975	29.7925	1.115	35.4035	0.63	27.84	574.74	1.46	NA	NA
GL137_UP	GL137	Kyrgyzstan	0.2	8.6	9.14	100.7	NA	160.9	8.558786	0	41.79245	77.73531	3958	41.7925	77.7353	3958	4482	4178	2	0	0	0.88	0.42	2.089553	NA	NA	20210726	20210726	0.041273111	NA	1.833974333	64.78665889	2.783986445	139.6908489	0.982770445	24.58466333	NA	35664780.63	3.35E-04	1.072666667	0.689	0.106666667	2.942333333	2.689	0.010333333	0.008333333	0.006666667	1.259666667	1.002763667	1.610693	1.731609667	0.028248	0.043667	0.026316333	0.020698	437.6666667	1.1595	0.152	2.4005	20.7645	0.8365	9.142	0.44	85.56	420.3	2.3	NA	NA
