protein	query length	HMM	HMM length	e-value	score	hmmbegin	hmmend	begin	end	coverage	num domaine	prediction confidence	EC prediction	comment
GFS_1602_57_7	461	S1_7	456	1.1e-155	511.3	2	445	26	458	97.1	1	high	3.1.6.13 3.1.6.- 	
GL124_DN_concoct_187_22_17	493	S1_8	443	1.1e-47	155.0	3	309	43	398	69.1	1	probable fragment		
GL26_UP_concoct_141_786_1	567	S1_8	443	6.7e-48	155.8	6	307	205	531	67.9	1	probable fragment		
GL140_5_concoct_333_sub_1127_2	473	S1_27	454	1.2e-139	458.5	2	447	22	443	98.0	1	high	3.1.6.12 3.1.6.- 	
GFS_10914_418_4	713	S1_8	443	1.9e-28	180.1	6	335	23	350	74.3	1	probable fragment		fusion of 2 fragments from 195 to 350 score 91.7 fragment 2 from 23 to 191 score 88.4
GFS_10893_109_2	468	S1_36	438	9.9e-187	613.4	2	434	40	466	98.6	1	high		
GFS_5845_445_5	182	S1_20	444	1e-51	168.5	274	439	1	166	37.2	1	probable fragment		
GL85_UP_concoct_158_454_23	893	S1_8	443	5.7e-40	129.6	29	308	333	631	63.0	1	probable fragment		
GL119_DN_concoct_185_281_63	507	S1_27	454	4.1e-124	407.3	2	451	33	468	98.9	1	high	3.1.6.12 3.1.6.- 	
GL135_DN_metabat_53_sub_956_6	634	S1_53	474	3.2e-41	134.1	268	446	436	607	37.6	1	probable fragment		
GFS_4725_273_4	711	S1_8	443	2.5e-29	194.8	3	332	27	357	74.3	1	probable fragment		fusion of 2 fragments from 210 to 357 score 94.6 fragment 2 from 27 to 198 score 100.2
GFS_9681_329_3	465	S1_61	451	8.3e-69	224.8	1	429	7	411	94.9	1	low		
GFS_5321_262_11	466	S1_28	445	5e-177	581.5	2	437	23	459	97.8	1	high		
GFS_1844_2_2	689	S1_11	498	5.9e-108	690.5	6	488	26	473	96.8	1	high	3.1.6.11 3.1.6.14 	fusion of 2 fragments from 254 to 473 score 354.2 fragment 2 from 26 to 251 score 336.3
GL26_UP_concoct_141_362_4	426	S1_61	451	1.9e-26	172.2	2	348	22	341	76.7	1	probable fragment		fusion of 2 fragments from 216 to 341 score 85.2 fragment 2 from 22 to 200 score 87.0
GL80_DN_concoct_136_sub_434_3	189	S1_24	410	5.2e-69	225.6	217	403	1	187	45.4	1	probable fragment		
GL119_DN_concoct_221_sub_296_4	451	S1_36	438	5.3e-186	611.0	2	435	22	449	98.9	1	high		
GFS_3651_634_1	412	S1_29	405	1.1e-88	290.3	96	392	3	321	73.1	1	probable fragment		
GL86_DN_metabat_16_sub_411_2	714	S1_8	443	3.3e-39	127.1	3	292	19	306	65.2	1	probable fragment		
GL94_UP_concoct_254_577_8	446	S1_71	422	8.7e-146	478.4	2	416	15	444	98.1	1	high		
GFS_3356_83_7	197	S1_15	471	1.6e-60	197.6	204	372	1	161	35.7	1	probable fragment		
GFS_14463_843_14	507	S1_8	443	1.3e-50	164.7	2	336	21	419	75.4	1	probable fragment		
GFS_13892_284_1	561	S1_8	443	8.7e-49	158.7	5	301	44	337	66.8	1	probable fragment		
GFS_12766_385_15	447	S1_20	444	1.6e-161	530.4	2	437	16	442	98.0	1	high		
GFS_8094_197_12	770	S1_4	536	5.5e-216	710.7	2	519	45	592	96.5	1	high	3.1.6.1 	
GFS_953_5_6	489	S1_6	469	5.2e-140	459.9	2	460	31	480	97.7	1	high	3.1.6.1 3.1.6.14 3.1.6.- 	
GFS_3556_670_2	531	S1_29	405	6.6e-134	439.2	2	399	19	435	98.0	1	high		
GL117_UP_metabat_70_72_27	245	S1_14	426	9.4e-81	264.0	157	392	2	244	55.2	1	probable fragment		
GL34_DN_concoct_229_577_1	424	S1_53	474	4.9e-31	100.5	280	441	1	159	34.0	1	probable fragment		
GL30_DN_metabat_39_sub_426_2	709	S1_8	443	2e-28	206.9	4	336	37	371	74.9	1	probable fragment		fusion of 2 fragments from 222 to 371 score 91.6 fragment 2 from 37 to 207 score 115.3
GL119_DN_concoct_185_13_4	466	S1_28	445	9.5e-180	590.4	2	437	23	459	97.8	1	high		
GL124_DN_concoct_140_78_19	764	S1_8	443	6.4e-43	139.4	7	332	349	696	73.4	1	probable fragment		
GL45_Down_concoct_107_221_10	413	S1_8	443	4.2e-32	103.7	3	332	2	340	74.3	1	probable fragment		
GL72_UP_concoct_308_sub_767_2	201	S1_20	444	1.7e-60	197.4	254	435	1	177	40.8	1	probable fragment		
GL85_UP_metabinner_2_1_81	481	S1_0	499	1.1e-147	485.2	5	486	2	456	96.4	1	high	3.1.-.- 	
GL132_DN_metabinner_20_161_2	673	S1_7	456	1.4e-55	335.5	2	446	21	570	97.4	1	high	3.1.6.13 3.1.6.- 	fusion of 2 fragments from 341 to 570 score 181.3 fragment 2 from 21 to 259 score 154.2
GFS_2136_246_6	692	S1_53	474	2.3e-38	124.7	3	375	198	561	78.5	1	probable fragment		
GFS_6317_334_2	456	S1_19	430	8.8e-172	563.9	2	411	28	439	95.1	1	high	3.1.6.- 	
GL119_DN_concoct_185_263_6	507	S1_15	471	4.6e-156	512.7	2	468	33	501	98.9	1	high	3.1.6.4 	
GL51_DN_concoct_123_120_5	451	S1_61	451	9.1e-80	261.0	1	442	2	429	97.8	1	low		
GL140_3_metabinner_64_206_7	759	S1_8	443	4.3e-49	159.7	2	302	317	640	67.7	1	probable fragment		
GFS_4334_794_2	679	S1_8	443	4.4e-20	152.6	3	303	40	341	67.7	1	probable fragment		fusion of 2 fragments from 226 to 341 score 64.1 fragment 2 from 40 to 216 score 88.5
GL119_DN_concoct_221_sub_1085_2	563	S1_17	425	2.7e-168	552.5	2	419	26	452	98.1	1	high	3.1.6.- 	
GFS_1125_81_22	476	S1_53	474	9.6e-126	412.8	2	467	2	461	98.1	1	high		
GFS_11879_163_2	430	S1_8	443	2.9e-21	145.3	5	335	38	374	74.5	1	probable fragment		fusion of 2 fragments from 223 to 374 score 68.0 fragment 2 from 38 to 212 score 77.3
GL26_UP_concoct_141_467_6	476	S1_8	443	9.3e-35	112.5	2	281	50	361	63.0	1	probable fragment		
GL97_DN_metabinner_5_sub_28_13	528	S1_12	481	8e-206	676.9	2	480	3	485	99.4	1	high	3.1.6.6 3.1.6.- 	
GFS_4118_668_7	492	S1_20	444	7e-184	604.1	2	439	24	478	98.4	1	high		
GFS_11693_6_2	271	S1_17	425	1.9e-40	131.2	3	88	25	110	20.0	1	probable fragment		
GL72_UP_concoct_70_sub_818_3	443	S1_71	422	1.3e-148	487.8	2	410	20	439	96.7	1	high		
GL93_UP_concoct_99_681_2	766	S1_4	536	1.8e-219	722.1	2	520	37	576	96.6	1	high	3.1.6.1 	
GL94_UP_concoct_254_456_1	199	S1_44	500	7.8e-42	135.6	2	136	15	153	26.8	1	probable fragment		
GFS_4088_244_104	421	S1_61	451	1.5e-31	102.0	237	424	207	391	41.5	1	probable fragment		
GL119_DN_concoct_185_28_1	469	S1_7	456	3.1e-156	513.1	2	450	23	448	98.2	1	high	3.1.6.13 3.1.6.- 	
GFS_10835_209_6	745	S1_8	443	1.4e-50	164.6	3	335	68	411	74.9	1	probable fragment		
GL119_DN_concoct_185_404_26	490	S1_53	474	5.2e-88	288.4	3	456	40	485	95.6	1	low		
GL140_5_concoct_333_sub_271_3	466	S1_7	456	8.9e-154	505.0	2	448	20	462	97.8	1	high	3.1.6.13 3.1.6.- 	
GL117_UP_concoct_203_385_8	1356	S1_19	430	4.7e-122	400.0	4	417	24	490	96.0	1	high	3.1.6.- 	
GL95_UP_metabinner_8_13_7	439	S1_18	426	2.3e-162	532.9	2	411	26	430	96.0	1	high		
GL47_Down_concoct_66_1093_1	358	S1_8	443	1.1e-91	300.1	3	311	21	342	69.5	1	high	3.10.1.1 3.1.6.- 	
GFS_895_460_4	630	S1_8	443	9.2e-29	187.6	4	335	36	368	74.7	1	probable fragment		fusion of 2 fragments from 219 to 368 score 92.7 fragment 2 from 36 to 207 score 94.9
GFS_12838_159_2	483	S1_8	443	5.3e-133	436.2	1	426	21	470	95.9	1	high	3.10.1.1 3.1.6.- 	
GFS_10255_90_6	474	S1_20	444	1.8e-168	553.3	2	432	43	461	96.8	1	high		
GL91_UP_metabinner_10_251_7	557	S1_4	536	5.3e-164	539.1	2	515	24	541	95.7	1	high	3.1.6.1 	
GL117_UP_concoct_174_12_2	1026	S1_52	473	8e-32	174.5	252	449	582	980	41.6	1	probable fragment		fusion of 2 fragments from 582 to 795 score 71.4 and from 787 to 980 score 103.1
GL124_DN_metabat_122_sub_13_5	505	S1_15	471	1.6e-172	566.9	2	468	27	500	98.9	1	high	3.1.6.4 	
GFS_8318_465_6	646	S1_8	443	1.2e-53	174.7	5	334	33	361	74.3	1	probable fragment		
GFS_3114_369_12	314	S1_8	443	1.9e-107	352.0	2	283	22	311	63.4	1	high	3.10.1.1 3.1.6.- 	
GL124_DN_concoct_180_sub_249_4	482	S1_6	469	1.1e-142	468.7	3	457	41	481	96.8	1	high	3.1.6.1 3.1.6.14 3.1.6.- 	
GL73_DN_metabat_110_sub_215_4	973	S1_7	456	3e-151	496.7	3	445	29	449	96.9	1	high	3.1.6.13 3.1.6.- 	
GL73_DN_metabat_110_sub_215_4	973	S1_16	444	2.1e-172	566.0	3	436	512	966	97.5	2	high		
GL75_DN_concoct_31_741_1	411	S1_27	454	8.9e-119	389.7	3	418	18	410	91.4	1	high	3.1.6.12 3.1.6.- 	
GFS_2205_637_2	465	S1_61	451	4.9e-74	242.1	1	433	8	415	95.8	1	low		
GL95_UP_concoct_247_681_3	143	S1_19	430	1.3e-37	121.8	2	78	28	104	17.7	1	probable fragment		
GL94_UP_concoct_254_373_6	449	S1_28	445	9e-179	587.2	3	437	17	447	97.5	1	high		
GFS_10199_192_2	455	S1_8	443	6.5e-155	508.5	3	426	22	452	95.5	1	high	3.10.1.1 3.1.6.- 	
GFS_3178_1240_2	436	S1_18	426	4.4e-160	525.4	2	410	31	432	95.8	1	high		
GFS_3877_142_4	468	S1_9	433	2.6e-147	483.2	3	427	28	454	97.9	1	high	3.1.6.- 	
GL74_UP_concoct_21_134_13	477	S1_19	430	2.3e-168	552.6	2	417	32	460	96.5	1	high	3.1.6.- 	
GL137_UP_concoct_56_804_4	248	S1_19	430	2.8e-31	100.9	197	406	4	210	48.6	1	probable fragment		
GL86_DN_metabat_16_sub_254_2	647	S1_8	443	4e-51	166.4	3	331	23	352	74.0	1	probable fragment		
GFS_13405_314_11	559	S1_16	444	9.7e-66	304.5	2	439	23	425	98.4	1	high		fusion of 2 fragments from 167 to 425 score 214.5 fragment 2 from 23 to 142 score 90.0
GFS_10335_115_1	210	S1_27	454	9.8e-32	102.8	197	419	2	207	48.9	1	probable fragment		
GL139_UP_metabinner_1_692_4	193	S1_12	481	3.6e-33	107.5	281	424	5	150	29.7	1	probable fragment		
GL65_DN_metabat_42_sub_358_1	630	S1_8	443	9.8e-40	128.9	2	333	236	574	74.7	1	probable fragment		
GFS_2368_403_5	465	S1_61	451	3.6e-68	222.8	1	431	7	413	95.3	1	low		
GFS_4421_202_4	268	S1_29	405	2.1e-43	141.2	238	401	8	176	40.2	1	probable fragment		
GL72_DN_concoct_184_208_11	480	S1_8	443	6.3e-148	485.4	2	425	12	476	95.5	1	high	3.10.1.1 3.1.6.- 	
GFS_11855_91_3	307	S1_36	438	5.1e-86	281.5	164	435	1	300	61.9	1	probable fragment		
GL73_DN_concoct_207_sub_330_3	668	S1_12	481	2.1e-32	105.0	255	439	471	660	38.3	1	probable fragment		
GFS_10893_155_27	465	S1_36	438	6.9e-175	574.3	2	435	36	462	98.9	1	several good hits		 good hit with these HMMs: S1_36(574.3);S1_34(537.8);S1_35(494.2);S1_6(345.7);S1_26(331.7);S1_9(321.2);S1_27(313.1)
GL26_UP_concoct_141_63_5	856	S1_29	405	4.3e-67	219.2	6	398	28	485	96.8	1	low		
GFS_5931_1481_4	652	S1_12	481	1.2e-31	102.6	258	444	460	647	38.7	1	probable fragment		
GL32_Down_metabinner_4_359_3	498	S1_27	454	7.1e-35	113.2	175	434	195	464	57.0	1	probable fragment		another fragment from 191 to 444 score 95.2
GL73_DN_concoct_61_927_2	462	S1_14	426	1.2e-164	540.4	3	414	29	429	96.5	1	high		
GFS_5689_557_18	450	S1_20	444	4.4e-171	561.9	2	430	25	448	96.4	1	high		
GL94_UP_concoct_254_189_18	457	S1_32	423	5e-164	538.2	2	412	21	434	96.9	1	high		
338R_concoct_65_376_39	550	S1_17	425	2.5e-176	579.0	2	423	23	444	99.1	1	high	3.1.6.- 	
GL94_UP_concoct_254_374_3	457	S1_23	422	2.2e-153	503.5	2	416	19	454	98.1	1	high		
GFS_9488_408_6	502	S1_53	474	1.2e-31	102.5	153	462	169	476	65.2	1	probable fragment		
GL95_UP_concoct_247_24_2	452	S1_29	405	1.8e-92	302.8	60	390	1	356	81.5	1	high		
GL32_Down_metabinner_4_15_4	662	S1_8	443	2.4e-60	196.8	4	312	30	339	69.5	1	probable fragment		
GFS_7207_862_1	400	S1_39	451	4.9e-99	324.2	193	448	2	247	56.5	1	high		
GFS_6995_98_2	484	S1_8	443	7.3e-57	185.3	2	330	31	405	74.0	1	probable fragment		
GLR80_GL56_UP_1_concoct_80_68_4	647	S1_19	430	1.1e-140	461.4	2	421	171	632	97.4	1	high	3.1.6.- 	
GFS_9293_67_21	530	S1_29	405	3.2e-138	453.4	3	401	20	437	98.3	1	high		
GFS_5130_1239_1	356	S1_16	444	1.2e-98	323.0	80	438	6	348	80.6	1	high		
GL75_UP_concoct_106_523_2	500	S1_27	454	3.6e-130	427.3	2	449	30	489	98.5	1	high	3.1.6.12 3.1.6.- 	
GFS_13892_264_7	691	S1_8	443	5.4e-37	119.8	4	333	33	376	74.3	1	probable fragment		
GL58_Up_concoct_85_479_1	562	S1_8	443	1.5e-17	125.1	19	311	2	292	65.9	1	probable fragment		fusion of 2 fragments from 190 to 292 score 55.7 fragment 2 from 2 to 160 score 69.4
GL51_Up_metabinner_2_4_2	566	S1_17	425	1.3e-176	579.9	2	423	22	447	99.1	1	high	3.1.6.- 	
GL117_UP_metabat_70_211_17	511	S1_8	443	1.4e-111	365.6	2	391	31	447	87.8	1	high	3.10.1.1 3.1.6.- 	
GL26_DN_concoct_27_7_13	760	S1_8	443	1.2e-58	191.3	4	330	34	361	73.6	1	probable fragment		
GFS_860_46_1	386	S1_32	423	1.4e-141	464.3	59	416	1	366	84.4	1	high		
GL73_DN_concoct_173_sub_27_4	396	S1_16	444	3.9e-133	436.6	65	437	2	378	83.8	1	high		
GFS_953_174_8	360	S1_14	426	1.2e-115	379.0	3	331	34	343	77.0	1	high		
GL86_DN_metabat_16_sub_253_3	732	S1_8	443	2e-25	160.3	6	331	39	362	73.4	1	probable fragment		fusion of 2 fragments from 211 to 362 score 81.7 fragment 2 from 39 to 207 score 78.6
GL74_DN_metabat_45_97_49	477	S1_20	444	5.3e-135	443.0	3	430	33	473	96.2	1	high		
GFS_5278_401_2	746	S1_24	410	4.7e-131	429.9	3	406	29	434	98.3	1	high		
GFS_1249_368_1	438	S1_16	444	6.7e-127	416.0	41	432	1	425	88.1	1	high		
GFS_13631_472_3	510	S1_58	502	5.2e-222	730.5	1	498	2	501	99.0	1	high		
GL73_DN_concoct_173_sub_553_5	463	S1_14	426	1.3e-155	510.7	2	412	29	429	96.2	1	high		
GFS_4118_385_5	491	S1_20	444	8.4e-177	580.8	2	432	29	475	96.8	1	high		
GFS_1235_421_2	536	S1_7	456	9.9e-113	369.7	2	443	42	529	96.7	1	high	3.1.6.13 3.1.6.- 	
GL34_UP_concoct_60_358_11	366	S1_6	469	2.9e-95	312.4	103	456	1	359	75.3	1	high	3.1.6.1 3.1.6.14 3.1.6.- 	
GL74_DN_concoct_278_50_11	483	S1_28	445	1.1e-166	547.4	2	440	27	460	98.4	1	high		
341R_metabat_72_sub_1033_9	678	S1_53	474	6.6e-37	119.9	267	440	480	645	36.5	1	probable fragment		
GL34_UP_concoct_125_454_2	498	S1_16	444	1.3e-166	547.0	2	437	36	476	98.0	1	high		
GFS_6995_72_10	457	S1_8	443	2.4e-144	473.6	2	421	31	443	94.6	1	high	3.10.1.1 3.1.6.- 	
GL140_5_concoct_333_sub_250_2	458	S1_7	456	2.2e-86	282.9	1	449	3	439	98.2	1	low		
GL117_UP_metabat_70_214_23	495	S1_11	498	2.1e-78	534.6	6	482	27	493	95.6	1	high	3.1.6.11 3.1.6.14 	fusion of 2 fragments from 259 to 493 score 256.8 fragment 2 from 27 to 251 score 277.8
GL140_2_concoct_166_189_2	618	S1_8	443	5.1e-19	120.4	26	303	3	264	62.5	1	probable fragment		fusion of 2 fragments from 146 to 264 score 60.6 fragment 2 from 3 to 139 score 59.8
GL94_UP_concoct_254_376_3	607	S1_8	443	1.9e-144	473.9	2	433	22	445	97.3	1	high	3.10.1.1 3.1.6.- 	
GFS_1130_855_3	369	S1_46	459	5e-81	265.0	4	359	11	368	77.3	1	probable fragment		
GL85_DN_concoct_11_1_22	450	S1_53	474	9e-33	106.2	263	463	244	439	42.2	1	probable fragment		
GFS_3998_485_2	447	S1_27	454	3.9e-73	239.3	3	312	3	321	68.1	1	probable fragment		
GL140_4_concoct_248_sub_424_3	663	S1_8	443	4.3e-52	169.6	4	336	28	360	74.9	1	probable fragment		
GL26_DN_metabat_42_336_1	356	S1_7	456	2.3e-55	180.6	155	443	41	340	63.2	1	probable fragment		
GFS_5321_108_39	459	S1_20	444	2.9e-165	542.7	2	431	28	446	96.6	1	high		
GL95_UP_metabinner_8_59_3	383	S1_36	438	4.6e-131	429.9	105	435	1	341	75.3	1	high		
GL29_UP_metabinner_4_339_6	940	S1_6	469	9.2e-139	455.8	3	461	331	773	97.7	1	high	3.1.6.1 3.1.6.14 3.1.6.- 	
GL26_UP_concoct_141_120_3	593	S1_8	443	5.3e-49	159.4	2	297	157	488	66.6	1	probable fragment		
GL47_Up_concoct_181_sub_536_1	912	S1_61	451	3e-26	154.6	1	348	390	688	76.9	1	probable fragment		fusion of 2 fragments from 576 to 688 score 84.5 fragment 2 from 390 to 567 score 70.1
GL47_Down_concoct_66_1221_2	672	S1_4	536	5.8e-162	532.4	2	508	20	488	94.4	1	high	3.1.6.1 	
GL132_DN_metabinner_20_191_2	842	S1_7	456	4.2e-89	291.9	2	445	23	564	97.1	1	low		
GFS_4334_15_2	760	S1_8	443	5.2e-58	189.1	4	330	34	361	73.6	1	probable fragment		
GL28_DN_metabinner_1_40_36	470	S1_36	438	1.5e-192	632.6	2	434	23	465	98.6	1	high		
GL140_4_concoct_222_sub_545_2	373	S1_16	444	4.7e-37	119.9	87	420	15	366	75.0	1	probable fragment		
GFS_5396_220_17	510	S1_7	456	8.5e-105	343.6	3	448	32	476	97.6	1	high	3.1.6.13 3.1.6.- 	
GL72_UP_concoct_70_sub_887_2	538	S1_4	536	9.8e-199	653.7	2	514	23	530	95.5	1	high	3.1.6.1 	
GL74_UP_metabat_107_sub_179_19	496	S1_8	443	1.9e-132	434.4	2	431	41	479	96.8	1	high	3.10.1.1 3.1.6.- 	
GL26_UP_metabinner_8_sub_498_1	723	S1_6	469	3.9e-101	331.7	30	451	3	402	89.8	1	high	3.1.6.1 3.1.6.14 3.1.6.- 	
GFS_6506_344_1	620	S1_8	443	2.6e-53	173.6	2	330	53	381	74.0	1	probable fragment		
GFS_11203_196_5	466	S1_19	430	5.8e-122	399.7	3	411	40	447	94.9	1	several good hits	3.1.6.- 	 good hit with these HMMs: S1_19(399.7);S1_62(385.0);S1_32(370.6);S1_18(365.4);S1_71(361.9);S1_20(347.8);S1_23(345.7);S1_17(344.5);S1_33(324.9);S1_22(302.5)
GL74_DN_concoct_94_467_2	486	S1_37	447	2.9e-164	539.5	2	447	3	450	99.6	1	high		
GL51_Up_metabinner_4_87_41	220	S1_20	444	5.6e-84	274.8	2	198	20	220	44.1	1	probable fragment		
GFS_5475_229_1	412	S1_27	454	6.9e-88	287.9	2	432	2	409	94.7	1	low		
GL30_DN_concoct_186_52_1	318	S1_20	444	2e-112	368.6	116	437	3	316	72.3	1	high		
GL29_UP_concoct_107_sub_744_1	276	S1_8	443	5.7e-61	198.8	207	433	1	262	51.0	1	probable fragment		
GFS_2372_1069_3	505	S1_7	456	7.1e-160	525.1	2	444	38	473	96.9	1	high	3.1.6.13 3.1.6.- 	
GL72_DN_concoct_12_sub_50_3	710	S1_4	536	3.9e-193	635.2	10	521	1	537	95.3	1	high	3.1.6.1 	
GFS_3307_1355_1	533	S1_16	444	1e-40	132.0	155	422	166	439	60.1	1	probable fragment		
GFS_6713_217_16	746	S1_53	474	7.1e-40	129.6	262	443	549	732	38.2	1	probable fragment		
GFS_12554_375_17	470	S1_28	445	3.7e-185	608.2	2	440	29	455	98.4	1	high		
GFS_6199_879_2	320	S1_8	443	8.3e-22	151.3	6	290	39	319	64.1	1	probable fragment		fusion of 2 fragments from 211 to 319 score 69.8 fragment 2 from 39 to 207 score 81.5
GL103_UP_concoct_32_330_12	476	S1_20	444	2.9e-169	555.9	3	437	13	471	97.7	1	high		
GL51_DN_concoct_123_120_4	482	S1_61	451	1.5e-87	286.7	1	441	2	416	97.6	1	low		
GL51_DN_concoct_123_192_2	456	S1_19	430	1.4e-170	559.9	2	411	28	439	95.1	1	high	3.1.6.- 	
337R_metabinner_31_236_8	661	S1_24	410	7.3e-122	399.6	2	405	48	437	98.3	1	high		
GL119_DN_concoct_185_446_1	455	S1_20	444	2.3e-166	546.4	2	431	23	442	96.6	1	high		
GL30_DN_concoct_176_sub_895_11	636	S1_16	444	2e-132	434.2	2	438	36	457	98.2	1	high		
GFS_10772_295_4	745	S1_4	536	5.2e-209	687.7	2	519	41	574	96.5	1	high	3.1.6.1 	
GFS_5712_687_42	492	S1_7	456	7e-150	492.2	3	449	41	477	97.8	1	high	3.1.6.13 3.1.6.- 	
GL73_DN_metabat_76_289_3	436	S1_18	426	1.5e-158	520.4	2	410	31	432	95.8	1	high		
GL32_Down_metabinner_12_544_5	586	S1_17	425	2.1e-181	595.7	2	423	43	475	99.1	1	high	3.1.6.- 	
GFS_3883_687_2	741	S1_46	459	4.7e-43	139.8	167	431	311	558	57.5	1	probable fragment		
GFS_14463_427_2	459	S1_29	405	3.5e-43	140.4	78	345	26	363	65.9	1	probable fragment		
GL98_DN_concoct_155_150_4	412	S1_16	444	1.5e-105	345.7	35	439	1	398	91.0	1	high		
GL93_UP_concoct_250_201_9	560	S1_17	425	5.5e-179	587.7	2	420	32	450	98.4	1	high	3.1.6.- 	
GFS_14463_516_3	522	S1_61	451	6e-23	151.2	1	353	187	513	78.0	1	probable fragment		fusion of 2 fragments from 395 to 513 score 73.7 fragment 2 from 187 to 372 score 77.5
GFS_4335_187_4	642	S1_8	443	3.5e-32	104.0	3	305	270	572	68.2	1	probable fragment		
