Row.names	sub_grp_6	d	p	c	o	f	g	s	
131	GFS_10171	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Nanopelagicales	f__CAIYMF01	g__WLRQ01	s__
134	GFS_10208	1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__SbA1	g__	s__
135	GFS_10217	1	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Chamaesiphonaceae	g__Chamaesiphon	s__
137	GFS_10255	1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__	s__
140	GFS_10313	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Lacisediminihabitans	s__
142	GFS_10318	1	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__JACPPC01	s__
146	GFS_10362	1	d__Bacteria	p__Bacteroidota	c__UBA10030	o__UBA10030	f__SZUA-254	g__	s__
147	GFS_1044	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__VFMC01	s__
148	GFS_10454	1	d__Bacteria	p__Chloroflexota	c__Limnocylindria	o__Limnocylindrales	f__CSP1-4	g__Fen-1039	s__
152	GFS_10472	1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Gp1-AA117	g__Gp1-AA17	s__
153	GFS_10485	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Lacisediminihabitans	s__
157	GFS_10499	1	d__Bacteria	p__Desulfobacterota_I	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Humidesulfovibrio	s__
158	GFS_10507	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__RAAP-2	s__
160	GFS_10510	1	d__Bacteria	p__Desulfobacterota	c__Desulfuromonadia	o__Geobacterales	f__Geobacteraceae	g__Geoanaerobacter	s__
162	GFS_10516	1	d__Bacteria	p__Desulfobacterota_E	c__MBNT15	o__MBNT15	f__	g__	s__
163	GFS_10520	1	d__Bacteria	p__Actinobacteriota	c__	o__	f__	g__	s__
166	GFS_10545	1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Palsa-187	s__
167	GFS_10566	1	d__Bacteria	p__Bacteroidota	c__Kapabacteria	o__Palsa-1295	f__Palsa-1295	g__PALSA-1296	s__
169	GFS_10645	1	d__Bacteria	p__Desulfobacterota	c__Syntrophia	o__Syntrophales	f__UBA8958	g__UBA8958	s__
170	GFS_10646	1	d__Bacteria	p__Desulfobacterota	c__Desulfuromonadia	o__Geobacterales	f__Pseudopelobacteraceae	g__JACRCG01	s__
171	GFS_10653	1	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__OPB41	f__PALSA-660	g__	s__
174	GFS_10674	1	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__UBA8932	g__JAEUJG01	s__
175	GFS_10685	1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__Palsa-288	s__
176	GFS_10704	1	d__Bacteria	p__Bacteroidota	c__UBA10030	o__UBA10030	f__UBA8401	g__UBA8401	s__
177	GFS_10705	1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__UBA5774	s__
179	GFS_10719	1	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellae	o__CAIKKV01	f__CAIYGI01	g__CAIYGI01	s__
181	GFS_10742	1	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__	s__
182	GFS_10753	1	d__Bacteria	p__Bacteroidota	c__Kapabacteria	o__Kapabacteriales	f__UBA4661	g__	s__
183	GFS_10772	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__Opitutaceae	g__Lacunisphaera	s__
186	GFS_10835	1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__SbA1	g__Bog-209	s__
188	GFS_10852	1	d__Bacteria	p__Desulfobacterota	c__Syntrophia	o__Syntrophales	f__Smithellaceae	g__FEN-1160	s__
190	GFS_10859	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__IMCC26256	f__IMCC26256	g__JAENVU01	s__
192	GFS_10870	1	d__Bacteria	p__Armatimonadota	c__Fimbriimonadia	o__Fimbriimonadales	f__Fimbriimonadaceae	g__	s__
195	GFS_10893	1	d__Bacteria	p__Armatimonadota	c__UBA5829	o__DTJY01	f__DTJY01	g__	s__
196	GFS_10894	1	d__Bacteria	p__Desulfobacterota	c__Syntrophia	o__Syntrophales	f__Smithellaceae	g__Fen-1166	s__
197	GFS_10895	1	d__Bacteria	p__Acidobacteriota	c__Holophagae	o__Holophagales	f__Holophagaceae	g__Holophaga	s__
198	GFS_10898	1	d__Bacteria	p__Eisenbacteria	c__RBG-16-71-46	o__RBG-16-71-46	f__JACRLI01	g__	s__
199	GFS_10903	1	d__Bacteria	p__Desulfobacterota_E	c__MBNT15	o__MBNT15	f__	g__	s__
200	GFS_10905	1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__UBA3254	g__UBA3254	s__
201	GFS_10912	1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Palsa-187	s__
202	GFS_10914	1	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__Fen-181	g__FEN-299	s__
206	GFS_10936	1	d__Bacteria	p__Chloroflexota	c__Limnocylindria	o__Limnocylindrales	f__CSP1-4	g__CAIXZV01	s__
209	GFS_10949	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__IMCC26256	f__	g__	s__
212	GFS_10983	1	d__Bacteria	p__Acidobacteriota	c__Holophagae	o__Holophagales	f__Holophagaceae	g__JADJVL01	s__
214	GFS_10992	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__RAAP-2	s__
217	GFS_11000	1	d__Bacteria	p__Eremiobacterota	c__Eremiobacteria	o__Baltobacterales	f__Baltobacteraceae	g__Palsa-1515	s__
219	GFS_11021	1	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__RBG-16-60-22	g__JACPQH01	s__
220	GFS_11049	1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__Edaphobacter	s__
221	GFS_11069	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__UBA10450	g__SZAS-18	s__
226	GFS_11198	1	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__OLB17	s__
229	GFS_11211	1	d__Bacteria	p__Bacteroidota	c__UBA10030	o__UBA10030	f__UBA8401	g__	s__
231	GFS_11242	1	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Palsa-1315	s__
234	GFS_1125	1	d__Bacteria	p__Armatimonadota	c__Armatimonadia	o__Armatimonadales	f__Armatimonadaceae	g__Armatimonas	s__
236	GFS_1130	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__	s__
238	GFS_11353	1	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__Aggregatilineales	f__UBA2796	g__	s__
239	GFS_11384	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__WLMZ01	s__
240	GFS_114	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
242	GFS_11403	1	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__
247	GFS_11482	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Luteolibacter	s__
258	GFS_11581	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Rhodoglobus	s__
260	GFS_11600	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__UBA668	s__
262	GFS_1161	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__CAIQOK01	g__CAIQOK01	s__
272	GFS_11701	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Dermatophilaceae	g__UBA4719	s__
274	GFS_11733	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__RAAP-2	s__
275	GFS_11736	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__SCTD01	g__	s__
276	GFS_11739	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__SCTD01	g__	s__
277	GFS_11768	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Dermatophilaceae	g__UBA4719	s__
280	GFS_11808	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Luteolibacter	s__
283	GFS_11851	1	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Palsa-1315	s__
284	GFS_11855	1	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__JACMLX01	s__
287	GFS_11878	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
288	GFS_11879	1	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__CADEFD01	s__
297	GFS_11902	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__V1-33	g__CAIZWU01	s__
298	GFS_11904	1	d__Bacteria	p__Fibrobacterota	c__Fibrobacteria	o__UBA11236	f__UBA11236	g__Chersky-265	s__
304	GFS_11970	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__	f__	g__	s__
305	GFS_11975	1	d__Bacteria	p__Eisenbacteria	c__RBG-16-71-46	o__RBG-16-71-46	f__RBG-16-71-46	g__	s__
306	GFS_11981	1	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Chamaesiphonaceae	g__JAAFHZ01	s__
307	GFS_11985	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Luteolibacter	s__
308	GFS_11995	1	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__JACMLX01	s__
315	GFS_12086	1	d__Bacteria	p__Armatimonadota	c__Fimbriimonadia	o__Fimbriimonadales	f__Fimbriimonadaceae	g__Fimbriimonas	s__
319	GFS_12114	1	d__Bacteria	p__Omnitrophota	c__Omnitrophia	o__Omnitrophales	f__UBA2337	g__UBA2337	s__
327	GFS_12196	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__	f__	g__	s__
334	GFS_12223	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__	f__	g__	s__
338	GFS_12315	1	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__12-FULL-67-14b	s__
344	GFS_12374	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
354	GFS_1243	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__CAIXPF01	g__CAIXPF01	s__
364	GFS_12523	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__	f__	g__	s__
365	GFS_12524	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Luteolibacter	s__
367	GFS_12554	1	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__RBC074	f__RBC074	g__	s__
368	GFS_12560	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__Chthoniobacteraceae	g__SXWH01	s__
369	GFS_12570	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
370	GFS_12588	1	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__JACMLX01	s__
377	GFS_1262	1	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Miltoncostaeales	f__	g__	s__
391	GFS_12677	1	d__Bacteria	p__Armatimonadota	c__Fimbriimonadia	o__Fimbriimonadales	f__Fimbriimonadaceae	g__Fimbriimonas	s__
398	GFS_12702	1	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__2-12-FULL-66-21	g__2-12-FULL-66-21	s__
400	GFS_12750	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__	f__	g__	s__
402	GFS_12757	1	d__Bacteria	p__Bacteroidota	c__UBA10030	o__UBA10030	f__UBA6906	g__CAADGV01	s__
403	GFS_12766	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Luteolibacter	s__
404	GFS_12774	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__JAENVT01	s__
405	GFS_12806	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__Chthoniobacteraceae	g__Chthoniobacter	s__
406	GFS_12818	1	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__
407	GFS_12820	1	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Microcoleaceae	g__Microcoleus	s__
409	GFS_12823	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
412	GFS_12827	1	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__RBC074	f__RBC074	g__JACPYM01	s__
413	GFS_12838	1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Bryobacter	s__
416	GFS_12842	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__Chthoniobacteraceae	g__SXWH01	s__
419	GFS_12854	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__JADJPG01	g__JADJPG01	s__
421	GFS_12864	1	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__JACMLX01	s__
424	GFS_12873	1	d__Bacteria	p__Omnitrophota	c__Omnitrophia	o__Omnitrophales	f__UBA2337	g__UBA2337	s__
426	GFS_12876	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__CAIXPF01	g__CAIXPF01	s__
433	GFS_12946	1	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__	s__
438	GFS_12979	1	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__	s__
439	GFS_12990	1	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Chamaesiphonaceae	g__JAAFHZ01	s__
442	GFS_13015	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
445	GFS_13026	1	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__OLB17	s__
447	GFS_13029	1	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Chamaesiphonaceae	g__Chamaesiphon	s__
469	GFS_13312	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Pseudonocardiaceae	g__Pseudonocardia	s__
470	GFS_13321	1	d__Bacteria	p__Armatimonadota	c__Abditibacteria	o__Abditibacteriales	f__Abditibacteriaceae	g__JZH01	s__
473	GFS_13349	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Luteolibacter	s__
484	GFS_13403	1	d__Bacteria	p__Deinococcota	c__Deinococci	o__Deinococcales	f__Deinococcaceae	g__JACMOA01	s__
490	GFS_13427	1	d__Bacteria	p__Deinococcota	c__Deinococci	o__Deinococcales	f__Deinococcaceae	g__Deinococcus	s__
491	GFS_13433	1	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__OLB17	s__
492	GFS_13436	1	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__GCA-002050365	s__
494	GFS_13466	1	d__Bacteria	p__Chloroflexota	c__Chloroflexia	o__54-19	f__54-19	g__54-19	s__
503	GFS_13534	1	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Chamaesiphonaceae	g__Chamaesiphon	s__
504	GFS_13542	1	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Chamaesiphonaceae	g__Chamaesiphon	s__
510	GFS_1363	1	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__GWC2-71-9	g__JABFSM01	s__
516	GFS_1368	1	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__AG11	s__
518	GFS_13688	1	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__OLB17	s__
522	GFS_13748	1	d__Bacteria	p__Chloroflexota	c__Chloroflexia	o__Chloroflexales	f__Chloroflexaceae	g__	s__
529	GFS_1384	1	d__Bacteria	p__Deinococcota	c__Deinococci	o__Deinococcales	f__JAAFIG01	g__	s__
536	GFS_13879	1	d__Bacteria	p__Planctomycetota	c__UBA11346	o__UBA11346	f__UBA11346	g__	s__
537	GFS_13892	1	d__Bacteria	p__Acidobacteriota	c__Thermoanaerobaculia	o__UBA5704	f__UBA5704	g__JAGPDF01	s__
546	GFS_13969	1	d__Bacteria	p__Armatimonadota	c__Armatimonadia	o__Armatimonadales	f__Armatimonadaceae	g__JACMIU01	s__
550	GFS_14050	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__WLMZ01	s__
551	GFS_14056	1	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__	s__
552	GFS_14070	1	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Leptolyngbyales	f__Leptolyngbyaceae	g__ULC077BIN1	s__
559	GFS_14183	1	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__JAAUUE01	g__JAAUUE01	s__
560	GFS_14214	1	d__Bacteria	p__Armatimonadota	c__Armatimonadia	o__Armatimonadales	f__Armatimonadaceae	g__JACMJB01	s__
563	GFS_14271	1	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__Aggregatilineales	f__A4b	g__	s__
