MAGs	Completeness	Contamination	sum_len	LengthNorm	LengthNorm2
336R_metabinner_21	91.85	0.03	3495785	3804829.9014697885	3805971.6929776818
336R_metabinner_23	80.28	0	1198783	1493252.3667164922	1493252.3667164922
336R_metabinner_25	88.08	0.36	2661224	3010494.543142598	3021371.4804722983
336R_metabinner_28	87.98	1.16	8041723	9034370.326437825	9140398.954307796
336R_metabinner_29_sub	91.81	5.06	4659706	4818565.381113168	5075379.588280143
336R_metabinner_34	88.33	0.79	1498032	1682551.2817842183	1695949.2811049474
336R_metabinner_39	87.39	3.35	4259728	4711096.36342831	4874388.37395583
336R_metabinner_45_sub	87.13	1.86	4765049	5367174.438884426	5468895.902674166
336R_metabinner_49	74.56	0.98	2193060	2912510.745708154	2941335.836909871
336R_metabinner_51	86.95	2.04	4011055	4518952.821161587	4613059.229442208
336R_metabinner_61	82.8	1.51	3300617	3926060.0039855074	3986252.415458937
336R_metabinner_68	82.47	1.56	4224424	5042467.546501759	5122376.621801868
336R_metabinner_76_sub	83.87	3.11	8651402	9994447.833313461	10315252.175986646
336R_metabinner_8	99.24	6.53	5164927	4864628.443067312	5204481.056025797
337R_concoct_5_sub	82.09	3.3	2802494	3301268.970641978	3413928.6149348277
337R_metabat_172	99.85	0.36	3254835	3247989.5783675513	3259724.5868803207
337R_metabinner_1	99.94	0.02	3708118	3709602.13768261	3710344.206523915
337R_metabinner_13	96.12	0.58	3405137	3522042.4525593007	3542589.471493966
337R_metabinner_14	86.94	2.82	3799871	4247428.844950541	4370682.079595123
337R_metabinner_19	83.48	0.75	3605799	4286961.556660278	4319356.732151413
337R_metabinner_26_sub	84.32	0.31	2681655	3170471.856617647	3180330.882352941
337R_metabinner_31	81.95	0.04	3816282	4654979.2400244055	4656841.9768151315
337R_metabinner_52	71.47	0.59	4261492	5927450.954526374	5962630.474324891
337R_metabinner_9	93.18	3.22	4747605	4931028.245331615	5095090.14810045
338R_concoct_142	77.59	2.93	1439521	1800931.8658332257	1855291.9190617346
338R_concoct_148	95	4.49	4525450	4549744.521052631	4763631.578947368
338R_concoct_161	97.7	4.36	2867418	2806958.6235414534	2934921.1873080856
338R_concoct_193	79.54	1.8	3282550	4052632.763389489	4126917.274327382
338R_concoct_195	99.25	3.66	4527124	4394389.180453401	4561334.005037784
338R_concoct_206	76.17	1.78	2461071	3173511.797558094	3231024.0252067745
338R_concoct_227	80.69	9.34	2350396	2640809.286900483	2912871.483455199
338R_concoct_33_sub	83.45	0.48	2800242	3339485.726063511	3355592.570401438
338R_concoct_41_sub	78.02	0.99	2861448	3631273.602665983	3667582.671109972
338R_concoct_47	90.97	1.3	3010541	3266355.9052434866	3309377.816862702
338R_concoct_51_sub	73.43	1.98	3385780	4519599.014026963	4610894.729674519
338R_concoct_65	98.94	2.32	7168713	7077419.505154639	7245515.4639175255
338R_concoct_82	82.27	2.8	4599116	5433743.469065273	5590271.058709129
338R_concoct_94	88.98	2.02	4963970	5466057.322993931	5578748.033265903
338R_metabat_123	95.01	0.43	2610970	2736283.36911904	2748100.1999789495
338R_metabinner_10	97.4	3.12	4349376	4326155.51211499	4465478.439425051
338R_metabinner_17	97.04	1.19	5090064	5182906.2638087375	5245325.638911788
338R_metabinner_18	92.59	3.95	3676598	3813988.9610109082	3970837.023436656
338R_metabinner_2	95.53	0.8	3423314	3554828.3136187587	3583496.2838898776
338R_metabinner_30	93.07	3.83	3011889	3112209.789728162	3236154.507360052
338R_metabinner_33_sub	73.47	3.7	3088214	4047842.768476929	4203367.360827548
338R_metabinner_42	94.16	1.37	3782033	3961575.135832625	4016602.5913338996
338R_metabinner_45_sub	84.11	2.6	4195647	4858590.153370585	4988285.578409226
338R_metabinner_5	99.46	0.84	2640396	2632431.8053488843	2654731.550372009
339R_concoct_126_sub	82.74	1.56	2647962	3150415.5097897025	3200340.826686004
339R_concoct_132_sub	71.86	1.92	2952242	4029444.6891177287	4108324.519899805
339R_concoct_170_sub	75.4	0.26	3882944	5136403.64137931	5149793.1034482755
339R_concoct_180	85.42	0.35	2462983	2873287.9413486305	2883379.77054554
339R_concoct_49	99.89	4.92	4458826	4244120.293122435	4463736.109720693
339R_concoct_57	78.36	0.79	4263164	5397505.110260338	5440484.94129658
339R_concoct_81_sub	85.48	0.42	2818563	3283487.4068788015	3297336.2189985956
339R_concoct_84_sub	78.06	1.32	4353229	5503159.591596208	5576772.995131949
339R_metabat_254	92.06	0.23	2401219	2602320.4391701063	2608319.574190745
339R_metabinner_19	96.17	1.36	2928541	3003756.724966205	3045171.0512633873
339R_metabinner_2	93.43	3.09	4618804	4790841.224874237	4943598.415926361
339R_metabinner_32	86.35	1.1	4799467	5497015.475390851	5558155.18239722
339R_metabinner_34	71.33	1.05	3424782	4750906.755923174	4801320.622458993
339R_metabinner_38	85.24	0.49	4098625	4784774.445682778	4808335.288596903
339R_metabinner_9	98.57	0.6	4778213	4818447.521558284	4847532.717865476
340R_metabat_103	78.5	3.04	2711797	3349501.109808917	3454518.4713375797
340R_metabinner_16_sub	90.31	3.05	3075607	3301739.5487764366	3405610.6743439264
340R_metabinner_33_sub	72.98	3.22	3067332	4067640.3255686485	4202976.157851466
340R_metabinner_40	85.43	3.38	2577689	2915326.1287603886	3017311.2489757696
341R_concoct_105_sub	80.04	7.63	4716322	5442861.858320839	5892456.271864068
341R_concoct_108	86.64	1.78	4079971	4625285.683518006	4709107.802400739
341R_concoct_14	99.97	0	2800908	2801748.524557367	2801748.524557367
341R_concoct_147	81	0.22	4507852	5553005.834074074	5565249.382716049
341R_concoct_52	82.35	1.63	3340365	3990184.6393442624	4056302.3679417125
341R_metabat_147	97.06	2.21	5573463	5615381.689367401	5742286.214712549
341R_metabat_72_sub	89.11	5.33	11928179	12672435.259005724	13385903.938951857
341R_metabinner_12_sub	96.3	3.61	7048948	7055535.801869158	7319779.854620975
341R_metabinner_54_sub	78.38	2.11	3366056	4203919.645828017	4294534.319979587
341R_metabinner_56_sub	78.07	5.85	5336184	6435272.493915718	6835127.449724607
341R_metabinner_6	94.44	1.18	4389857	4593452.65501906	4648302.62600593
GFS_10002	99.2	2.35	3258803	3207884.203125	3285083.669354839
GFS_10004	86.1	6.85	3361537	3636784.8031358887	3904224.1579558654
GFS_10006	82.59	2.8	2202501	2592118.8666908825	2666788.957500908
GFS_10018	92.45	0.68	3780965	4061930.165494862	4089740.400216333
GFS_10022	92.75	0.07	4556831	4909586.219191374	4913025.336927223
GFS_10023	92.44	4.18	5506637	5707983.095413242	5956985.071397663
GFS_10025	94.46	2.13	3617050	3747625.2752487827	3829186.9574423037
GFS_10026	82.15	3.33	3418269	4022447.5256238584	4161009.1296409005
GFS_1003	82.65	6.98	1289113	1450856.5185722928	1559725.3478523896
GFS_10036	78.09	0.97	3397767	4308885.465616596	4351091.048789858
GFS_10042	71.4	0.51	3163299	4407795.763445377	4430390.756302521
GFS_10060	98.77	1.55	3820047	3807670.620127569	3867618.710134656
GFS_10061	90.87	4.48	3489513	3668078.3730604164	3840115.5496863653
GFS_10066	89.29	0.62	6194178	6894136.0694366675	6937146.376973906
GFS_10091	91.94	2.73	5589868	5913927.130302371	6079908.636067
GFS_10095	96.57	2.01	4145793	4206754.230817024	4293044.423734079
GFS_10096	99.83	1.37	7139148	7053332.337373535	7151305.218872083
GFS_10097	95.67	0.45	4072013	4237157.877600083	4256311.27835267
GFS_10128	99.7	0.45	3654527	3649028.714643932	3665523.5707121366
GFS_10135	70.55	3.17	2857169	3921469.5148121906	4049849.7519489727
GFS_10141	96.91	1	3937666	4022587.2871736665	4063219.4819936026
GFS_10147	83.89	0.89	3161791	3735428.6090118014	3768972.463940875
GFS_10151	91.11	0.28	3384577	3704423.4270661836	3714824.9368894743
GFS_10162	87.64	1.98	2955730	3305803.9091738933	3372581.0132359657
GFS_10165	74.53	3.42	2431773	3151222.8141687913	3262810.9486112976
GFS_10166	96.13	2.28	6096174	6197005.339436179	6341593.675231457
GFS_10167	76.9	3.62	2957139	3706229.607542262	3845434.330299089
GFS_10171	77.77	0.63	2532090	3235357.8925035363	3255869.872701556
GFS_10174	85.57	0.77	2229696	2585634.382143275	2605698.2587355385
GFS_10199	73.7	3.54	5188561	6790890.014382633	7040109.905020353
GFS_10208	87.59	2.04	3748311	4192082.949651786	4279382.349583285
GFS_10217	74.03	4.53	3838298	4949916.386059705	5184787.248412806
GFS_10254	97.55	5.79	8101196	7823820.350179396	8304660.174269605
GFS_10255	95.94	0.72	5664572	5861775.152803836	5904286.012090891
GFS_10256	96.38	0.03	3127781	3244285.812097946	3245259.3899149206
GFS_10292	79.58	0.71	2176514	2715582.7476752955	2735001.256597135
GFS_10313	86.71	0.45	2305712	2647141.3862299626	2659107.3693922274
GFS_10315	79.88	0.1	527850	660142.9018527792	660803.7055583375
GFS_10318	70.61	1.78	2552322	3550333.7606571307	3614674.975215975
GFS_10320	75.31	1.53	3356896	4389238.46926039	4457437.25932811
GFS_10331	83.15	1.28	2249941	2671246.849308478	2705882.140709561
GFS_10335	71.46	4.25	2111060	2828631.332213826	2954184.1589700533
GFS_10362	86.19	2.3	2458573	2786896.184012066	2852503.7707390646
GFS_1044	80.11	2.66	4193957	5095990.193234304	5235247.784296593
GFS_10454	71.41	0.65	2246222	3125082.7013023384	3145528.6374457357
GFS_10456	89.21	4.78	5238800	5591733.393117364	5872435.825580092
GFS_10464	85.46	1.47	3567569	4113182.4663000237	4174548.3267025515
GFS_10465	80.78	0.7	3301274	4058139.492448626	4086746.719485021
GFS_10472	94.01	1.57	4469450	4679586.889692586	4754228.273587916
GFS_10485	71.37	2.53	2384010	3255842.156368222	3340353.0895334175
GFS_10486	74.85	4.31	3972763	5078873.633533734	5307632.598530394
GFS_1049	73.8	1.63	766533	1021732.4012195122	1038662.6016260163
GFS_10490	75.75	0.04	2374328	3133172.6320792083	3134426.402640264
GFS_10499	91.36	2.71	2516174	2679493.963003502	2754130.910683012
GFS_10507	86.03	1.31	1960895	2249456.323956759	2279315.355108683
GFS_10508	72.42	4.01	2490053	3300472.0722176195	3438349.9033416184
GFS_10510	88.85	5.85	3152321	3340360.4068655036	3547913.3370849746
GFS_10512	98.57	0.84	1021134	1027246.0935375876	1035948.0572182206
GFS_10516	81.73	0.38	1700908	2073222.2557200538	2081130.5518169582
GFS_10520	71.09	0.02	989912	1392198.6462230976	1392477.1416514278
GFS_10525	70.21	4.02	3316729	4534106.956558895	4724012.248967384
GFS_1053	73.71	5.99	3079300	3927350.332383666	4177587.8442545114
GFS_10545	79.62	0.96	3872830	4817446.410449636	4864142.175332831
GFS_10563	81.68	0.43	2186306	2665162.6887855045	2676672.380019589
GFS_10566	83.49	1.31	2372253	2804139.9996406757	2841361.8397412864
GFS_10644	98	1.02	6300090	6363090.9	6428663.265306123
GFS_10645	86.64	1.01	2411261	2754971.4495614036	2783080.563250231
GFS_10646	80.08	1.56	2913002	3580868.0929070935	3637614.8851148854
GFS_10653	92.09	1.2	1905548	2044392.9025952874	2069223.5856227605
GFS_10664	89.24	0.75	594390	661062.3879426267	666057.8216046616
GFS_10668	86.55	2.5	990860	1116220.103986135	1144841.1322934718
GFS_10674	98.68	2.83	4051208	3989216.47101743	4105399.270368869
GFS_10685	75.68	0.98	3860883	5051594.0097780125	5101589.587737843
GFS_10704	80.17	0.52	3049741	3784311.2720469004	3804092.5533241862
GFS_10705	80.36	1.53	1417915	1737457.5665754108	1764453.7083125934
GFS_10711	90.57	2.52	2812470	3027046.2139781388	3105299.7681351444
GFS_10719	89.63	0.18	2728015	3038161.969206739	3043640.522146603
GFS_10727	82.4	2.38	3851562	4562979.1558252415	4674225.728155339
GFS_10742	86.91	1.5	2713319	3075157.3064089287	3121987.1131055113
GFS_10753	77.34	4.12	3484958	4320374.619084562	4506022.756658909
GFS_10772	81.09	0.66	2826090	3462125.793562708	3485127.6359600443
GFS_10782	81.86	1.51	3003848	3614084.8951869044	3669494.258490105
GFS_10814	74.05	2.87	2580993	3385440.244294396	3485473.3288318706
GFS_10835	90.51	1.71	3775656	4100201.3947630087	4171534.637056678
GFS_10842	92.03	0.31	752274	814888.5695968706	817422.5795936107
GFS_10852	99.39	0.15	2614275	2626374.471777845	2630319.951705403
GFS_10855	89.25	1.88	3365589	3700073.867563025	3770968.067226891
GFS_10859	81.09	0.17	3244610	3994443.4122579843	4001245.5296584037
GFS_10864	84.88	1.52	2329027	2702198.149858624	2743905.5136663527
GFS_10870	87.37	0.92	3690149	4184731.176834153	4223588.1881652735
GFS_10878	82.51	2.19	2900125	3437901.1786450124	3514876.984607926
GFS_10881	83.69	1.62	3478725	4089341.2056398615	4156679.412116143
GFS_10893	98.47	2.15	3998989	3973810.0299583627	4061124.2002640394
GFS_10894	98.38	3.35	3468680	3407683.6958731455	3525797.926407807
GFS_10895	84.55	5.28	3347342	3749973.2021289184	3959008.870490834
GFS_10898	84.29	0.29	2927631	3463211.377506228	3473283.900818602
GFS_10903	90.53	0.1	2284198	2520616.1515519717	2523139.2908428144
GFS_10905	97.21	0.31	1623184	1664594.310873367	1669770.5997325378
GFS_10912	98.87	2.56	4454928	4390494.43026196	4505844.037625165
GFS_10914	73.4	4.3	3585457	4674771.592643051	4884818.801089918
GFS_10924	71.73	0.71	3820968	5289054.966122961	5326875.784190714
GFS_1093	98.81	1.24	1020655	1020138.5264649327	1032947.0701346018
GFS_10932	90.33	1.44	2883224	3145915.6143031106	3191878.667109487
GFS_10936	74.27	3.15	2248481	2932077.350881918	3027441.766527535
GFS_10943	97.06	0.33	793209	814538.8525654235	817235.7304759942
GFS_10948	97.71	5	607349	590504.0937468018	621583.2565755809
GFS_10949	85.62	1.54	2367639	2722701.891380518	2765287.316047652
GFS_10965	94.45	0.05	3462351	3663970.168872419	3665803.0704076225
GFS_1097	78.17	8.71	2282384	2665457.788921581	2919769.732634003
GFS_10983	75.57	1.09	2540457	3325084.05279873	3361726.8757443433
GFS_10988	76.42	5.75	4168020	5140485.278722847	5454095.786443339
GFS_10992	78.84	2.91	1605796	1977508.0370370368	2036778.2851344494
GFS_11	77.02	7.04	7628632	9207447.815112958	9904741.625551805
GFS_110	89.18	2.25	3073070	3368385.204081632	3445918.3673469382
GFS_11000	87.11	0.5	2753575	3145226.868327402	3161032.0284697507
GFS_11005	81.9	0	1903400	2324053.7240537237	2324053.7240537237
GFS_11017	98.39	1.11	536171	538895.7230409593	544944.6081918894
GFS_11021	83.02	1.15	1656533	1972395.6522524692	1995342.0862442784
GFS_11049	100	0	3893632	3893632	3893632
GFS_11069	89.92	0.21	3355600	3723924.866548043	3731761.565836299
GFS_11075	71.38	4.26	3171623	4254009.330624825	4443293.639674979
GFS_11103	99.41	0.8	3072140	3065650.2162760287	3090373.201891158
GFS_11195	75.52	1.03	1996368	2616267.756355933	2643495.762711865
GFS_11196	75.51	6.15	2230789	2772606.908356509	2954296.1197192427
GFS_11198	85.53	1.95	3523760	4039572.875014615	4119911.1422892553
GFS_112	85.11	5.68	689884	764538.3489601691	810579.2503818587
GFS_11203	78.9	3.52	3852641	4711062.150570341	4882941.698352344
GFS_11211	80.77	1.97	2104282	2553952.7604308533	2605276.7116503655
GFS_11219	77.68	3.94	3466867	4287168.434860968	4463011.071060762
GFS_11242	77.91	5.2	2061610	2508543.5502502886	2646142.985496085
GFS_11244	70.29	2.64	2366387	3277727.1065585427	3366605.4915350685
GFS_11245	98.49	6.54	3443467	3267605.095136562	3496260.534064372
GFS_1125	99.03	1.87	5745902	5693682.351408664	5802183.1768151065
GFS_11298	75	7.52	1895351	2337094.139733333	2527134.6666666665
GFS_1130	71.14	7.96	3149789	4075155.7430418893	4427592.071970762
GFS_11348	91.66	4.54	3475146	3619217.0757145975	3791344.0977525637
GFS_11353	71.79	3.86	3960334	5303614.859451177	5516553.837581836
GFS_11384	91.49	0.06	3720578	4064209.9171494152	4066649.9070936716
GFS_114	78.12	0.54	3247332	4134404.003072196	4156850.998463901
GFS_11400	96.91	1.45	5465124	5557609.846249097	5639380.868847384
GFS_11403	77.12	8.81	4323727	5112560.4918309115	5606492.479253111
GFS_11411	90.21	2.28	7513586	8139093.49207405	8328994.568229687
GFS_11434	71.75	5.88	1796457	2356550.9803484324	2503772.822299652
GFS_11475	75.94	1.65	643466	833353.7147748224	847334.7379510141
GFS_11476	83.55	2.05	2372574	2781491.6014362657	2839705.565529623
GFS_11482	88.04	0.34	2380632	2694840.8123580185	2704034.5297592
GFS_11492	93.76	3.66	5550502	5703235.523464165	5919904.010238908
GFS_11498	70.91	1.22	1842023	2565999.6042871247	2597691.4398533353
GFS_11518	89.9	1.12	1277859	1405502.7577308118	1421422.6918798664
GFS_11529	73.32	4.16	2687117	3512456.264048009	3664916.803055101
GFS_11543	70.68	3.01	4543827	6235226.09974533	6428730.89983022
GFS_11547	94.48	3.54	8472415	8649969.844411515	8967416.384419981
GFS_11554	72.32	4.13	6389690	8470403.488661507	8835301.4380531
GFS_11564	72.66	9.18	2321318	2901487.7616295074	3194767.409854115
GFS_11573	96.7	3.08	3719547	3728009.257911065	3846480.8686659774
GFS_11575	79.11	4.31	3245675	3925908.7441537096	4102736.6957401084
GFS_11581	91.95	0.52	2455837	2656951.2208809135	2670839.5867319196
GFS_11589	84.05	0.86	2667453	3146356.8164187986	3173650.2082093996
GFS_11600	100	2.74	4011367	3901455.5442	4011367
GFS_11606	80.65	3.01	2990443	3596318.2463732176	3707926.8443893366
GFS_1161	94.26	5.27	4910252	4934735.539571399	5209263.738595375
GFS_11612	100	1.25	3155353	3115911.0875000004	3155353
GFS_11616	76.48	0	1101208	1439864.0167364015	1439864.0167364015
GFS_11617	90.37	3.32	5009983	5359800.336837445	5543856.368263803
GFS_11626	88.31	7.93	4128864	4304659.817461216	4675420.677160004
GFS_11651	95.95	3.14	7029108	7095772.807503909	7325803.022407505
GFS_11667	100	0.58	3521152	3500729.3183999998	3521152
GFS_11680	84.18	5.63	3090126	3464186.1560940836	3670855.3100498924
GFS_11693	73.83	4.68	5005302	6462215.720438846	6779496.139780577
GFS_11699	96.68	0.33	6334639	6530548.915287547	6552171.0798510555
GFS_11701	76.46	0.77	2393908	3106820.439968611	3130928.5901124775
GFS_11729	82.13	6.55	3544499	4033038.2509436263	4315717.764519664
GFS_11733	89.23	0.78	1775705	1974509.1348201274	1990031.3795808582
GFS_11736	73.09	2.26	2555206	3416963.1199890547	3495972.0892050895
GFS_11739	70.24	2.94	2825395	3904226.063496583	4022487.1867881548
GFS_11768	93.26	1.6	2763755	2916078.6189148612	2963494.531417542
GFS_11779	70.86	3.75	4006284	5441784.292972058	5653801.862828112
GFS_118	99.75	1.66	2570882	2534541.7130827066	2577325.313283208
GFS_11808	77.93	8.78	3026186	3542264.685230335	3883210.573591685
GFS_11819	71.43	4.5	3055639	4085307.6368472623	4277809.043819123
GFS_11830	98.07	1.02	2102723	2122234.348322627	2144104.211277659
GFS_11851	73.91	9.25	2715425	3334120.1292112027	3673961.574888378
GFS_11855	79.04	3.65	4162365	5073935.573760121	5266150.050607287
GFS_11876	90.12	1.4	799836	875097.9760319574	887523.3022636485
GFS_11877	99.98	0.09	3603329	3600806.1651330264	3604049.8099619923
GFS_11878	74.83	1.17	3058291	4039167.4399305093	4086985.1663771216
GFS_11879	92.93	1.56	4591815	4864072.620251802	4941154.6325191
GFS_1188	71.13	3.96	3587680	4844099.356108534	5043835.231266695
GFS_11880	97.8	0.13	2973802	3036744.434969325	3040697.3415132924
GFS_11881	97.74	2.54	4456510	4443743.243298548	4559555.964804584
GFS_11884	84.62	1.56	3043939	3541070.1389742373	3597186.2443866692
GFS_11889	88.12	2.6	3287801	3634042.4126191554	3731049.704947798
GFS_11895	100	9	4319533	3930775.0300000003	4319533
GFS_11898	86.49	2.86	3515917	3948851.628858828	4065113.885998382
GFS_11901	99.96	2.02	5165071	5062761.670468188	5167137.855142058
GFS_11902	72.09	1.56	4088143	5582421.92980996	5670887.779164933
GFS_11904	88.97	2.62	4162615	4556091.36450489	4678672.586265033
GFS_11905	72.36	3.46	2437418	3251911.742951907	3368460.475400774
GFS_1192	75.72	6.69	2489746	3068122.018753302	3288095.615425251
GFS_11924	76.97	7.42	3625509	4360785.022995972	4710288.424061323
GFS_11943	77.06	5.41	2579574	3166388.5888917726	3347487.6719439398
GFS_11949	80.96	7.3	2708700	3101488.2658102773	3345726.284584981
GFS_11970	76.47	3.05	4194236	5317525.5681966785	5484812.3447103435
GFS_11975	75.47	4.91	3712879	4678119.30714191	4919675.367695773
GFS_11981	99.88	0.97	4406631	4369129.634861833	4411925.310372447
GFS_11985	71.39	1	2044264	2834880.7395993834	2863515.8985852357
GFS_11995	86.15	2.14	3811241	4329286.642600116	4423959.373186303
GFS_12016	92.63	1.32	5754942	6130818.056353233	6212827.377739393
GFS_12021	74.44	4.52	2729450	3500911.955937668	3666644.277270285
GFS_12027	91.29	0.24	3193654	3489965.199255121	3498361.266294227
GFS_12031	74.76	0.29	1814610	2420208.1741573033	2427247.191011236
GFS_12034	72.2	4.7	3069637	4051750.7770083095	4251574.792243767
GFS_12037	86.08	2.58	534933	605403.9598048328	621437.0353159852
GFS_12086	75.71	3.29	3054595	3901860.816933034	4034599.128252543
GFS_12090	94.01	3.31	2969206	3053850.953515583	3158393.7878949046
GFS_12094	75.84	8.03	2490599	3020311.049973629	3284017.6687763715
GFS_12111	84.82	5.98	845853	937598.4326809716	997232.963923603
GFS_12114	77.07	3.11	1446629	1818656.8549370705	1877032.5677955109
GFS_12119	83.34	1.98	2671141	3141651.5577153824	3205112.790976722
GFS_12121	87.99	7.86	4131586	4326449.983407206	4695517.67246278
GFS_12125	90.76	3.29	1126224	1200056.4460114588	1240881.445570736
GFS_12135	85.95	0.08	790242	918685.0568935428	919420.5933682374
GFS_12189	85.46	1.53	762248	878288.7966300024	891935.4083781887
GFS_12192	99.62	0.49	2927654	2924421.2963260384	2938821.521782774
GFS_12195	81.82	0.05	699093	854000.7987044733	854428.0127108287
GFS_12196	77.47	1.68	3565424	4525009.522137602	4602328.643345811
GFS_12198	99.1	7.02	2630679	2468219.3079717453	2654570.1311806254
GFS_12201	77.81	5.27	4376715	5328443.7983549675	5624874.69476931
GFS_12209	87.83	3.83	3539405	3875493.3263121936	4029836.046908801
GFS_12220	87.97	0.34	1102877	1249434.1459588497	1253696.7147891326
GFS_12221	73.9	6.77	3666137	4625087.314073071	4960943.166441136
GFS_12222	77.58	6.28	5380816	6500258.771848416	6935828.821861305
GFS_12223	85.91	0.36	5239028	6076321.149109532	6098274.938889535
GFS_12224	88.25	3.69	5489636	5991012.387082152	6220550.708215297
GFS_12268	75.05	2.58	3286213	4265727.78760826	4378698.2011992
GFS_12291	81.56	2.3	3504589	4198116.053212359	4296945.806768023
GFS_12315	73.79	0.9	3232008	4340588.058002439	4380008.131183087
GFS_12324	85.96	0.98	6098476	7025024.354583526	7094550.953932061
GFS_1235	81.09	1.34	2961381	3603031.8098409176	3651968.183499815
GFS_12357	87.5	0.92	5254298	5949666.8096	6004912
GFS_12368	88.35	0.16	2685456	3034702.060441426	3039565.365025467
GFS_12371	79.05	9.56	711030	813479.4838709678	899468.6907020874
GFS_12374	73.03	5.88	5091941	6562419.374503629	6972396.275503218
GFS_12380	72.52	4.05	3126269	4136314.265719802	4310905.956977386
GFS_12383	85.79	3.59	738119	829491.2319617671	860378.8320317053
GFS_12386	75.92	3.21	6073433	7742987.092597471	7999780.031612223
GFS_12387	92.44	1.52	3083183	3284637.1899610558	3335334.2708784076
GFS_12390	87.31	4.08	3942823	4331641.0738747	4515889.359752606
GFS_1240	83.68	6.45	2640265	2951682.489842256	3155192.3996175905
GFS_12411	94.41	0.47	1404941	1481133.1186315008	1488127.317021502
GFS_12412	83.69	0.11	3571256	4262549.430517386	4267243.3982554665
GFS_12429	78.62	0.53	936616	1185006.277283134	1191320.274739252
GFS_1243	75.65	1.99	2779280	3600756.5472571044	3673866.490416391
GFS_12433	70.77	1.54	1870655	2602581.479440441	2643288.116433517
GFS_12447	81.16	0.68	395862	484438.31739773287	487755.05174963037
GFS_12468	90.99	0.84	2796068	3047127.188482251	3072939.883503682
GFS_12470	86.03	1.18	3810975	4377549.104963385	4429820.992676973
GFS_1249	73.58	1.63	2735678	3657361.305517804	3717964.120684969
GFS_125	92.91	2.01	2987109	3150433.870519858	3215056.506296416
GFS_12504	95.58	2.01	4668931	4786655.667399037	4884840.970914417
GFS_12518	87.98	5.27	4146552	4464683.689020231	4713062.05955899
GFS_12521	70.54	3.31	2459278	3370961.0124751907	3486359.512333427
GFS_12523	88	3.66	3509682	3842304.1350000007	3988275.0000000005
GFS_12524	76.77	8.28	3282985	3922305.3823107984	4276390.517129087
GFS_12530	94.46	2.44	3405307	3517062.7876349776	3605025.4075799277
GFS_12554	94.85	0.92	6349099	6632248.064522931	6693831.31259884
GFS_12560	81.48	3.48	5722803	6779147.589101619	7023567.746686302
GFS_12570	75.95	3.15	3317632	4230581.424621461	4368179.065174457
GFS_12588	73.97	3.05	3900643	5112442.055563066	5273277.004190888
GFS_1260	77.57	3.81	2336571	2897444.430707748	3012209.617120021
GFS_12610	90.23	0.62	971491	1070007.4873102072	1076682.92142303
GFS_12611	95.38	2.46	734594	751229.804571189	770176.137555043
GFS_12613	87.96	0.74	3923412	4427442.873124148	4460450.204638472
GFS_12614	81.09	8.33	837826	947139.0975459366	1033205.0807744481
GFS_12617	70.99	0.01	590219	831328.3252570785	831411.4664037189
GFS_1262	85.36	0.63	2192745	2552636.7227038424	2568820.290534208
GFS_12623	90.04	0.71	987443	1088885.1118391827	1096671.4793425144
GFS_12627	87.44	3.36	3582436	3959362.020128088	4097021.957913998
GFS_12632	84.89	0.01	644057	758620.0898810226	758695.9594769703
GFS_12635	99.67	9.79	1060245	959613.7398414768	1063755.3927962275
