protein	query length	HMM	HMM length	e-value	score	hmmbegin	hmmend	begin	end	coverage	num domaine	prediction confidence	EC prediction	comment
GL93_UP_metabinner_34_sub_675_1	445	S1_18	426	2.1e-181	595.7	13	418	1	415	95.1	1	high		
GL80_DN_concoct_136_sub_1376_3	456	S1_25	440	6.2e-177	581.4	2	434	27	454	98.2	1	high	3.1.6.- 	
GL48_UP_concoct_98_962_3	215	S1_27	454	4.7e-74	242.3	2	201	30	209	43.8	1	probable fragment		
GFS_10864_441_1	497	S3	508	3.2e-168	552.9	137	503	1	367	72.0	1	high	3.1.6.- 3.1.6.19 	
GL51_DN_metabinner_15_sub_129_21	496	S1_27	454	3.5e-151	496.5	1	452	33	461	99.3	1	high	3.1.6.12 3.1.6.- 	
GFS_7929_820_1	213	S1_19	430	4e-67	219.0	231	418	2	195	43.5	1	probable fragment		
GL119_DN_concoct_18_507_2	220	S1_13	476	2e-71	233.7	235	459	1	208	47.1	1	probable fragment		
GFS_223_27_1	499	S1_17	425	1.4e-167	550.2	2	412	30	468	96.5	1	high	3.1.6.- 	
GFS_5294_201_1	466	S1_20	444	1.2e-171	563.8	2	436	20	461	97.7	1	high		
GFS_6317_1446_1	361	S1_8	443	2.8e-92	302.0	45	382	2	361	76.1	1	high	3.10.1.1 3.1.6.- 	
GFS_1125_21_58	480	S1_53	474	2.3e-84	276.4	3	381	31	422	79.7	1	probable fragment		
GL73_DN_metabat_110_sub_120_1	516	S1_7	456	2.5e-150	493.6	4	446	48	476	96.9	1	high	3.1.6.13 3.1.6.- 	
GFS_9438_205_6	533	S1_64	483	6.3e-140	459.9	2	483	8	530	99.6	1	high		
GFS_12766_385_16	479	S1_39	451	3e-191	628.2	2	451	25	473	99.6	1	high		
337R_metabinner_31_77_3	443	S1_20	444	1.2e-171	563.8	2	435	25	434	97.5	1	high		
GFS_5523_1223_3	467	S1_8	443	7.7e-150	491.7	2	426	21	464	95.7	1	high	3.10.1.1 3.1.6.- 	
GL51_Up_metabinner_2_294_5	516	S1_16	444	3.3e-160	525.8	2	434	31	507	97.3	1	high		
GL95_UP_metabat_55_sub_330_6	108	S1_58	502	4e-38	123.9	402	499	2	100	19.3	1	probable fragment		
GFS_7164_202_1	250	S1_14	426	9.5e-85	277.2	198	421	1	235	52.3	1	probable fragment		
GL137_UP_concoct_28_275_1	454	S1_19	430	8.4e-167	547.5	2	425	25	447	98.4	1	high	3.1.6.- 	
GFS_4627_265_3	508	S1_11	498	3e-219	721.3	5	487	28	502	96.8	1	high	3.1.6.11 3.1.6.14 	
GL26_DN_metabat_42_406_5	490	S1_14	426	3.1e-190	624.7	3	420	30	473	97.9	1	high		
GFS_3888_143_4	489	S1_0	499	3.1e-148	487.0	4	493	2	467	98.0	1	high	3.1.-.- 	
GL74_UP_metabat_64_282_2	490	S1_17	425	3.9e-165	542.1	2	409	22	442	95.8	1	high	3.1.6.- 	
338R_concoct_65_415_3	306	S1_19	430	8.5e-100	326.7	127	419	1	291	67.9	1	high	3.1.6.- 	
GFS_223_930_5	252	S1_4	536	2.8e-81	266.1	253	513	1	247	48.5	1	probable fragment		
GFS_10255_53_31	464	S1_9	433	3.5e-153	502.5	2	426	41	459	97.9	1	high	3.1.6.- 	
GL139_UP_metabat_150_151_9	493	S1_37	447	1.3e-164	540.7	2	447	4	454	99.6	1	high		
GL65_DN_metabat_42_sub_164_3	468	S1_14	426	5.3e-191	627.3	2	422	20	454	98.6	1	high		
GFS_9246_245_8	519	S1_13	476	8.1e-214	703.3	1	472	26	512	98.9	1	high		
GL51_DN_metabinner_15_sub_301_1	216	S1_7	456	5.5e-67	218.9	264	447	1	182	40.1	1	probable fragment		
GFS_5483_26_13	431	S1_21	416	3.3e-171	561.9	3	414	18	428	98.8	1	high		
GL53_Down_metabinner_17_181_4	524	S1_11	498	5e-198	651.3	5	484	24	518	96.2	1	high	3.1.6.11 3.1.6.14 	
GFS_11924_186_2	124	S1_15	471	1.5e-42	138.4	3	79	46	122	16.1	1	probable fragment		
GFS_3651_309_14	194	S1_8	443	1.2e-32	105.5	2	121	28	154	26.9	1	probable fragment		
337R_metabinner_31_101_10	458	S1_25	440	1.4e-172	567.0	3	434	30	456	98.0	1	high	3.1.6.- 	
GL50_UP_concoct_37_sub_586_5	454	S1_18	426	7.1e-192	630.1	3	422	16	443	98.4	1	high		
GL74_DN_concoct_140_197_9	115	S1_35	462	1.2e-45	148.3	359	461	2	106	22.1	1	probable fragment		
GL94_UP_concoct_254_551_4	475	S1_23	422	1.2e-140	461.6	2	420	18	467	99.1	1	high		
GL65_UP_concoct_192_sub_1169_6	285	S1_16	444	6.9e-93	303.9	2	262	28	281	58.6	1	high		
GFS_11198_319_10	459	S1_18	426	5.3e-183	600.9	2	416	37	455	97.2	1	high		
GFS_4002_1174_1	107	S1_19	430	3.7e-43	140.0	2	78	26	102	17.7	1	probable fragment		
GL74_DN_metabinner_53_sub_29_7	574	S1_4	536	2.4e-192	632.6	2	512	34	569	95.1	1	high	3.1.6.1 	
GL140_3_concoct_225_sub_879_4	117	S1_36	438	2.4e-42	137.6	3	98	22	117	21.7	1	probable fragment		
GFS_14120_727_3	743	S1_4	536	5.9e-167	548.9	2	515	22	530	95.7	1	high	3.1.6.1 	
GL72_UP_concoct_294_275_1	398	S1_15	471	1.6e-145	477.9	3	359	32	397	75.6	1	high	3.1.6.4 	
GL32_Down_metabinner_12_234_2	90	S1_8	443	3.9e-34	110.4	3	69	23	89	14.9	1	probable fragment		
GFS_5712_47_22	568	S1_4	536	4.2e-155	509.7	2	507	22	486	94.2	1	high	3.1.6.1 	
GL53_Up_metabinner_1_512_5	456	S1_16	444	1.3e-145	477.8	1	430	20	453	96.6	1	high		
GL72_UP_concoct_294_886_2	544	S1_8	443	1.9e-150	493.7	2	426	112	532	95.7	1	high	3.10.1.1 3.1.6.- 	
GFS_5757_433_2	193	S1_7	456	8.7e-59	191.9	268	447	1	183	39.3	1	probable fragment		
GL51_DN_metabinner_8_333_20	479	S1_8	443	6.9e-129	422.7	2	430	20	459	96.6	1	high	3.10.1.1 3.1.6.- 	
GL65_UP_concoct_192_sub_263_1	447	S1_14	426	3.2e-42	137.1	267	419	1	153	35.7	1	probable fragment		
GFS_5507_69_2	558	S1_4	536	2.6e-168	553.3	3	519	38	547	96.3	1	high	3.1.6.1 	
GFS_1658_916_10	559	S1_4	536	4.1e-219	721.0	2	515	29	555	95.7	1	high	3.1.6.1 	
GFS_2794_351_4	656	S3	508	1.8e-214	705.5	4	501	29	526	97.8	1	high	3.1.6.- 3.1.6.19 	
GFS_5889_1017_4	417	S1_4	536	5.5e-110	360.8	222	519	1	316	55.4	1	high	3.1.6.1 	
GL74_DN_concoct_38_sub_532_4	530	S1_4	536	3.4e-165	543.0	2	509	22	525	94.6	1	high	3.1.6.1 	
GFS_4002_781_1	202	S1_25	440	1.2e-57	188.2	191	379	15	202	42.7	1	probable fragment		
GL72_UP_metabat_178_sub_135_31	659	S3	508	1.3e-218	719.1	6	505	33	530	98.2	1	high	3.1.6.- 3.1.6.19 	
GFS_7451_333_1	371	S1_37	447	9e-166	544.5	2	359	3	365	79.9	1	high		
GL114_DN_metabinner_24_1110_2	534	S1_11	498	5.7e-217	713.8	6	484	40	526	96.0	1	high	3.1.6.11 3.1.6.14 	
GFS_5510_761_1	163	S1_17	425	6.3e-63	205.3	2	131	33	162	30.4	1	probable fragment		
GL32_Down_concoct_208_sub_191_1	473	S1_16	444	3.4e-173	568.6	2	437	22	468	98.0	1	high		
GL95_UP_concoct_160_129_2	494	S1_14	426	2.8e-182	598.5	2	421	29	480	98.4	1	high		
GFS_12908_859_1	190	S1_4	536	6.2e-78	255.1	2	157	30	187	28.9	1	probable fragment		
GFS_11779_518_1	333	S1_25	440	1.6e-136	448.2	2	308	22	327	69.5	1	high	3.1.6.- 	
GL34_DN_concoct_1_437_2	1007	S1_16	444	1.9e-177	582.7	2	439	30	477	98.4	1	high		
GFS_9658_0_111	474	S1_8	443	3.7e-143	469.7	2	433	21	454	97.3	1	high	3.10.1.1 3.1.6.- 	
GL127_UP_concoct_103_768_4	195	S1_20	444	1.1e-77	254.1	2	158	20	191	35.1	1	probable fragment		
GFS_11547_1528_7	503	S1_7	456	3.9e-155	509.5	2	448	23	479	97.8	1	high	3.1.6.13 3.1.6.- 	
GL124_DN_concoct_187_192_4	494	S1_20	444	2.1e-171	563.0	2	435	45	488	97.5	1	high		
GL51_DN_metabinner_8_372_2	511	S1_7	456	7.7e-136	445.9	2	444	70	503	96.9	1	high	3.1.6.13 3.1.6.- 	
GL77_DN_metabinner_2_1319_1	219	S1_17	425	1.4e-92	303.0	2	201	28	219	46.8	1	high	3.1.6.- 	
GFS_9929_172_2	500	S1_0	499	2.4e-156	513.7	2	493	10	474	98.4	1	high	3.1.-.- 	
GFS_10002_15_50	511	S1_68	505	2.7e-242	797.4	1	504	3	506	99.6	1	high		
GL119_DN_concoct_221_sub_1063_1	217	S1_8	443	2.8e-70	229.5	18	234	2	217	48.8	1	probable fragment		
GFS_1658_333_1	150	S1_64	483	1.9e-76	250.6	1	133	3	137	27.3	1	probable fragment		
GFS_13514_153_9	773	S1_66	455	5e-239	785.8	3	454	10	461	99.1	1	high		
GFS_12908_302_2	442	S1_18	426	1.2e-202	665.7	2	423	2	434	98.8	1	high		
GLR80_GL56_UP_1_concoct_13_sub_799_6	553	S1_0	499	2.2e-221	728.3	2	497	4	514	99.2	1	high	3.1.-.- 	
GFS_2372_1462_1	559	S1_49	485	1e-222	732.7	2	485	38	521	99.6	1	high		
GL91_UP_metabat_169_0_2	488	S1_0	499	5.6e-140	459.7	5	493	2	464	97.8	1	high	3.1.-.- 	
GL95_UP_concoct_160_956_1	281	S1_8	443	3.5e-90	295.1	3	235	35	281	52.4	1	probable fragment		
GFS_3451_334_3	300	S1_0	499	5.5e-105	344.3	239	495	2	256	51.3	1	high	3.1.-.- 	
GL109_DN_metabat_10_sub_167_7	443	S1_18	426	2.8e-199	654.5	2	423	2	435	98.8	1	high		
GFS_6733_149_3	917	S1_14	426	1.6e-193	635.6	2	422	25	465	98.6	1	high		
GL54_UP_metabinner_21_sub_187_4	599	S1_4	536	7.7e-173	568.3	4	516	35	551	95.5	1	high	3.1.6.1 	
GL72_DN_metabinner_2_123_28	570	S1_17	425	3.1e-153	502.9	2	410	3	404	96.0	1	high	3.1.6.- 	
GL140_2_concoct_208_sub_144_4	722	S1_4	536	1.4e-201	663.1	2	520	2	536	96.6	1	high	3.1.6.1 	
GFS_5943_208_5	545	S1_7	456	9e-165	541.3	2	448	27	533	97.8	1	high	3.1.6.13 3.1.6.- 	
GFS_3520_293_7	474	S1_17	425	8.1e-168	550.9	2	416	22	452	97.4	1	high	3.1.6.- 	
GFS_11482_73_6	810	S1_4	536	4e-210	691.3	2	519	67	605	96.5	1	high	3.1.6.1 	
GFS_5689_218_16	505	S1_32	423	4.5e-161	528.5	2	411	68	486	96.7	1	high		
GFS_5294_432_1	338	S1_19	430	1.1e-98	323.0	115	422	3	303	71.4	1	high	3.1.6.- 	
GFS_12524_555_9	513	S1_13	476	5.6e-212	697.2	1	472	20	506	98.9	1	high		
GL72_UP_concoct_70_sub_908_3	484	S1_8	443	8.7e-128	419.1	2	417	29	464	93.7	1	high	3.10.1.1 3.1.6.- 	
GFS_12863_777_2	515	S1_11	498	1e-220	726.2	5	488	24	503	97.0	1	high	3.1.6.11 3.1.6.14 	
GFS_2771_292_25	547	S1_8	443	2.7e-122	401.0	3	432	28	527	96.8	1	high	3.10.1.1 3.1.6.- 	
GL124_DN_metabinner_32_sub_826_1	533	S1_4	536	3.1e-186	612.5	2	489	26	533	90.9	1	high	3.1.6.1 	
GL34_DN_metabinner_24_sub_414_2	312	S1_19	430	2.4e-121	397.7	2	298	25	311	68.8	1	high	3.1.6.- 	
GFS_12560_469_1	555	S1_16	444	4.6e-129	423.2	45	439	2	379	88.7	1	high		
GL117_UP_concoct_13_187_6	723	S1_7	456	3.9e-140	460.1	3	444	27	461	96.7	1	high	3.1.6.13 3.1.6.- 	
GL51_DN_metabinner_8_393_3	495	S1_17	425	1.5e-146	480.8	1	409	23	474	96.0	1	high	3.1.6.- 	
GL65_DN_metabat_42_sub_132_12	452	S1_25	440	4.2e-176	578.6	2	434	23	450	98.2	1	high	3.1.6.- 	
GL51_DN_metabinner_8_279_4	524	S1_22	433	3.1e-148	486.4	2	428	25	435	98.4	1	high		
GL93_UP_concoct_19_sub_438_3	169	S1_24	410	5.7e-42	136.5	256	405	3	145	36.3	1	probable fragment		
GFS_3877_65_5	564	S1_4	536	9.1e-195	640.6	2	516	28	556	95.9	1	high	3.1.6.1 	
GFS_1605_463_1	82	S1_11	498	6.1e-36	116.7	6	71	15	82	13.1	1	probable fragment		
GL92_DN_concoct_144_453_2	382	S1_64	483	1.7e-153	504.6	1	369	3	382	76.2	1	high		
GFS_2410_879_2	604	S1_17	425	1.4e-153	504.0	2	412	22	425	96.5	1	high	3.1.6.- 	
GFS_7859_32_4	547	S1_4	536	2.8e-161	530.1	3	511	34	537	94.8	1	high	3.1.6.1 	
GFS_2508_24_8	518	S1_0	499	5e-194	638.0	3	497	3	500	99.0	1	high	3.1.-.- 	
GFS_6609_67_1	429	S1_7	456	7.4e-147	482.2	53	448	1	416	86.6	1	high	3.1.6.13 3.1.6.- 	
GL140_5_metabinner_64_125_15	459	S1_25	440	1.8e-153	504.0	2	434	27	457	98.2	1	high	3.1.6.- 	
GL26_DN_metabinner_9_sub_371_1	147	S1_68	505	1.8e-53	174.4	365	500	1	138	26.7	1	probable fragment		
GFS_7177_700_1	372	S1_15	471	4.2e-121	397.4	2	331	35	372	69.9	1	high	3.1.6.4 	
GL93_UP_concoct_250_350_5	479	S1_15	471	1.7e-172	566.8	2	468	26	477	98.9	1	high	3.1.6.4 	
GFS_6609_131_1	497	S1_20	444	5e-169	555.1	2	438	45	485	98.2	1	high		
GFS_10859_302_3	314	S1_13	476	3.9e-97	318.5	2	268	39	314	55.9	1	high		
GL51_Up_metabinner_2_55_45	506	S1_15	471	5.7e-177	581.6	2	468	22	482	98.9	1	high	3.1.6.4 	
GFS_1477_1775_1	380	S1_11	498	2.2e-165	543.6	6	353	33	380	69.7	1	high	3.1.6.11 3.1.6.14 	
GL47_Down_concoct_66_435_1	421	S1_32	423	1.1e-168	553.6	2	384	20	421	90.3	1	high		
GL74_UP_concoct_21_46_7	494	S1_34	450	4.2e-207	680.7	1	446	20	468	98.9	1	high		
GLR20_GL16_DN_1_concoct_106_730_1	438	S1_29	405	4.1e-153	502.5	2	398	33	432	97.8	1	high		
GFS_5712_899_7	469	S1_14	426	2.7e-154	506.3	2	418	25	466	97.7	1	high		
GFS_13179_634_18	273	S1_7	456	3e-76	249.5	79	313	23	272	51.3	1	probable fragment		
GFS_2506_775_1	229	S1_7	456	4e-76	249.1	249	448	5	199	43.6	1	probable fragment		
GL72_UP_concoct_294_194_2	539	S1_4	536	1.1e-165	544.7	2	511	22	532	95.0	1	high	3.1.6.1 	
GL26_UP_metabinner_8_sub_1100_1	540	S1_17	425	1.7e-128	421.3	53	419	1	361	86.1	1	high	3.1.6.- 	
GL5_Up_concoct_179_91_2	570	S1_4	536	1.2e-186	613.9	2	517	38	554	96.1	1	high	3.1.6.1 	
GL74_UP_metabat_64_14_7	592	S1_7	456	1.5e-176	580.1	3	443	26	500	96.5	1	high	3.1.6.13 3.1.6.- 	
336R_concoct_189_sub_352_6	400	S1_4	536	2.7e-151	497.2	2	357	35	400	66.2	1	high	3.1.6.1 	
GFS_2210_389_5	484	S1_14	426	4.7e-191	627.4	3	422	35	471	98.4	1	high		
GFS_2625_82_7	568	S1_4	536	1.3e-97	320.0	242	519	66	367	51.7	1	high	3.1.6.1 	
GL74_DN_concoct_140_187_10	570	S1_11	498	3.9e-212	697.9	5	485	68	544	96.4	1	high	3.1.6.11 3.1.6.14 	
GFS_4032_83_1	369	S1_7	456	2.4e-112	368.5	86	447	2	337	79.2	1	high	3.1.6.13 3.1.6.- 	
GL72_UP_concoct_20_227_4	515	S1_15	471	1.3e-159	524.4	2	468	22	506	98.9	1	high	3.1.6.4 	
GL72_DN_metabinner_2_8_53	451	S1_14	426	1.5e-179	589.5	5	419	2	435	97.2	1	high		
GL117_UP_metabat_119_302_26	467	S1_28	445	1.8e-161	530.2	2	440	19	443	98.4	1	high		
GL124_DN_concoct_31_sub_533_1	495	S1_20	444	1.2e-177	583.5	2	438	23	488	98.2	1	high		
GL53_Down_metabinner_30_sub_567_8	454	S1_32	423	3.5e-171	561.8	2	415	31	445	97.6	1	high		
GFS_10507_121_6	645	S3	508	6.2e-235	773.0	4	501	6	509	97.8	1	high	3.1.6.- 3.1.6.19 	
GL140_5_metabinner_35_sub_66_6	453	S1_71	422	4.5e-195	640.8	2	417	30	450	98.3	1	high		
GL95_UP_concoct_73_sub_218_3	196	S3	508	4.7e-51	166.3	8	146	59	196	27.2	1	probable fragment		
GFS_5294_454_1	288	S1_25	440	4.3e-114	374.2	150	434	2	286	64.5	1	high	3.1.6.- 	
GFS_7207_1311_1	369	S1_16	444	9.1e-82	267.3	28	420	3	354	88.3	1	low		
GFS_4933_214_10	139	S1_11	498	2.5e-65	213.6	4	128	15	139	24.9	1	probable fragment		
GFS_1130_180_2	342	S1_4	536	8.2e-135	442.8	2	307	31	341	56.9	1	high	3.1.6.1 	
GL74_DN_concoct_278_114_7	452	S1_25	440	2.3e-173	569.6	2	434	22	450	98.2	1	high	3.1.6.- 	
GL106_DN_concoct_81_73_5	456	S1_27	454	3.6e-157	516.3	4	449	2	422	98.0	1	high	3.1.6.12 3.1.6.- 	
GFS_12806_102_2	476	S1_14	426	1.7e-174	572.9	3	420	26	446	97.9	1	high		
GL93_UP_metabat_23_203_2	519	S1_7	456	2.6e-188	618.9	2	450	28	511	98.2	1	high	3.1.6.13 3.1.6.- 	
GL72_UP_concoct_117_22_12	468	S1_19	430	9.8e-126	412.1	2	425	34	451	98.4	1	high	3.1.6.- 	
GL51_DN_metabinner_8_295_10	544	S1_4	536	1.8e-162	534.0	2	512	20	524	95.1	1	high	3.1.6.1 	
GL30_DN_metabat_39_sub_443_4	514	S1_11	498	5.5e-229	753.5	5	485	27	505	96.4	1	high	3.1.6.11 3.1.6.14 	
GL29_UP_concoct_107_sub_383_7	279	S1_16	444	5.3e-76	248.3	256	437	88	270	40.8	1	probable fragment		
GL82_UP_concoct_93_369_2	339	S1_28	445	4.4e-79	391.9	2	356	16	338	79.6	1	high		fusion of 2 fragments from 139 to 338 score 258.6 fragment 2 from 16 to 129 score 133.3
GFS_12374_1174_10	768	S1_4	536	2.6e-209	688.7	2	517	50	580	96.1	1	high	3.1.6.1 	
GFS_7207_932_13	456	S1_8	443	2.4e-118	388.0	2	427	20	451	95.9	1	high	3.10.1.1 3.1.6.- 	
GL117_UP_metabat_70_313_2	480	S1_15	471	2.7e-172	566.2	2	468	24	478	98.9	1	high	3.1.6.4 	
GFS_11924_867_1	416	S1_20	444	3.9e-177	581.8	2	391	1	415	87.6	1	high		
GL80_UP_concoct_205_195_1	185	S1_68	505	6.3e-88	288.1	1	183	3	184	36.0	1	probable fragment		
GL97_DN_metabinner_14_sub_142_3	139	S1_71	422	4.8e-56	182.8	2	112	28	138	26.1	1	probable fragment		
GL51_DN_metabinner_8_450_3	512	S1_7	456	2.4e-149	490.4	2	450	30	491	98.2	1	high	3.1.6.13 3.1.6.- 	
GFS_8508_227_4	422	S1_23	422	1.9e-134	441.1	10	420	1	403	97.2	1	high		
GFS_5502_238_4	471	S1_14	426	1e-191	629.6	2	421	29	457	98.4	1	high		
GFS_12766_103_2	448	S1_62	414	6.3e-152	498.5	2	408	35	445	98.1	1	high		
GFS_12324_1100_3	459	S1_14	426	2.1e-188	618.7	2	420	28	455	98.1	1	high		
GL72_DN_concoct_9_sub_782_4	176	S1_24	410	7.4e-32	103.2	2	69	47	115	16.3	1	probable fragment		
GL73_DN_concoct_218_sub_852_11	591	S1_4	536	2.7e-179	589.6	2	515	26	543	95.7	1	high	3.1.6.1 	
GL93_UP_metabat_23_150_2	512	S1_29	405	1.8e-117	385.1	2	397	24	426	97.5	1	high		
GFS_11617_67_2	502	S1_12	481	1.6e-229	755.0	2	480	2	478	99.4	1	high	3.1.6.6 3.1.6.- 	
GFS_7658_505_2	471	S1_8	443	1.4e-154	507.4	2	425	32	467	95.5	1	high	3.10.1.1 3.1.6.- 	
GFS_7207_285_2	429	S1_50	427	1.8e-206	678.3	5	424	3	423	98.1	1	high		
GFS_6091_397_1	334	S1_23	422	7.7e-94	307.3	97	420	1	321	76.5	1	high		
GL92_DN_concoct_144_258_6	466	S1_36	438	1.4e-199	655.7	2	434	5	460	98.6	1	high		
GL72_DN_metabat_113_43_2	548	S1_4	536	7.1e-161	528.8	1	512	22	522	95.3	1	high	3.1.6.1 	
GL114_DN_concoct_30_59_5	637	S3	508	5.2e-221	727.0	18	504	13	503	95.7	1	high	3.1.6.- 3.1.6.19 	
GL72_UP_concoct_308_sub_39_1	229	S1_4	536	3.7e-64	209.6	284	509	1	212	42.0	1	probable fragment		
GL72_DN_metabinner_12_76_35	538	S1_11	498	2.7e-190	625.8	5	485	21	495	96.4	1	high	3.1.6.11 3.1.6.14 	
GL93_DN_metabat_54_sub_190_1	258	S3	508	4.1e-58	189.6	383	504	7	128	23.8	1	probable fragment		
GL124_DN_metabat_122_sub_106_10	423	S1_36	438	9.1e-131	428.9	4	356	46	421	80.4	1	high		another fragment from 44 to 231 score 335.4
GFS_12223_81_56	482	S1_18	426	5.2e-166	544.9	2	416	30	463	97.2	1	high		
GL14_Down_metabat_54_166_1	409	S1_12	481	5.6e-163	535.6	103	480	1	384	78.4	1	high	3.1.6.6 3.1.6.- 	
GFS_7656_952_7	450	S1_19	430	7.2e-182	597.1	2	427	24	442	98.8	1	high	3.1.6.- 	
GFS_2410_350_3	522	S1_49	485	4.5e-230	757.0	2	485	28	514	99.6	1	high		
GL106_DN_concoct_81_421_2	487	S1_15	471	9.4e-189	620.5	3	466	19	483	98.3	1	high	3.1.6.4 	
GFS_2771_430_2	642	S1_14	426	2.4e-175	575.7	4	419	28	446	97.4	1	high		
GFS_4032_791_1	256	S1_16	444	4.8e-86	281.4	2	261	18	256	58.3	1	probable fragment		
GL117_UP_metabat_119_287_24	456	S1_28	445	3.2e-142	466.7	3	436	17	453	97.3	1	high		
GFS_7730_175_14	541	S1_29	405	3.8e-123	403.8	2	401	20	443	98.5	1	high		
GLR80_GL56_UP_1_metabat_48_129_18	526	S1_8	443	3.2e-146	479.8	2	424	56	521	95.3	1	high	3.10.1.1 3.1.6.- 	
GL124_DN_metabinner_44_547_5	477	S1_8	443	1.4e-149	490.8	2	426	19	443	95.7	1	high	3.10.1.1 3.1.6.- 	
GL72_UP_concoct_294_941_2	506	S1_8	443	1.8e-151	497.1	3	426	33	503	95.5	1	high	3.10.1.1 3.1.6.- 	
GFS_5413_142_2	487	S1_14	426	2.4e-162	532.9	2	416	26	451	97.2	1	high		
GFS_12766_52_20	504	S1_15	471	1.3e-161	531.0	2	468	18	487	98.9	1	high	3.1.6.4 	
GFS_5321_275_31	549	S1_4	536	6.2e-185	608.2	2	513	26	526	95.3	1	high	3.1.6.1 	
GL47_Down_concoct_66_1370_2	432	S1_24	410	2.3e-135	444.1	2	405	23	407	98.3	1	high		
341R_concoct_147_159_1	468	S1_11	498	3.4e-75	456.9	6	480	23	465	95.2	1	high	3.1.6.11 3.1.6.14 	fusion of 2 fragments from 243 to 465 score 246.2 fragment 2 from 23 to 238 score 210.7
GL34_DN_concoct_1_375_14	517	S1_28	445	2.2e-103	476.5	146	442	24	491	66.5	1	high		fusion of 2 fragments from 24 to 154 score 137.8 and from 150 to 491 score 338.7
GL72_UP_concoct_107_217_2	485	S1_26	443	2.6e-140	460.6	2	436	27	473	98.0	1	high		
GFS_4002_1385_1	466	S1_11	498	2.2e-202	665.7	6	450	26	466	89.2	1	high	3.1.6.11 3.1.6.14 	
GFS_6449_208_5	630	S3	508	6e-225	740.0	3	504	4	503	98.6	1	high	3.1.6.- 3.1.6.19 	
